rank,org_name,city,phone,programs,counties_count,zips_count,population_reach,counties,zips
1,BakerRipley,Houston,+17136679400,"CEAP, CSBG",3,263,5745696,Brazoria; Galveston; Harris,77001 77002 77003 77004 77005 77006 77007 77008 77009 77010 77011 77012 77013 77014 77015 77016 77017 77018 77019 77020 77021 77022 77023 77024 77025 77026 77027 77028 77029 77030 77031 77032 77033 77034 77035 77036 77037 77038 77039 77040 77041 77042 77043 77044 77045 77046 77047 77048 77049 77050 77051 77052 77053 77054 77055 77056 77057 77058 77059 77060 77061 77062 77063 77064 77065 77066 77067 77068 77069 77070 77071 77072 77073 77074 77075 77076 77077 77078 77079 77080 77081 77082 77083 77084 77085 77086 77087 77088 77089 77090 77091 77092 77093 77094 77095 77096 77098 77099 77205 77206 77207 77208 77210 77215 77217 77218 77219 77220 77221 77222 77223 77224 77225 77226 77227 77228 77230 77231 77233 77234 77235 77236 77237 77238 77240 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77258 77259 77261 77262 77263 77265 77266 77267 77268 77269 77270 77271 77272 77273 77274 77275 77277 77279 77280 77282 77284 77287 77288 77289 77290 77291 77292 77293 77325 77336 77338 77339 77345 77346 77347 77373 77375 77377 77379 77383 77388 77389 77391 77396 77401 77402 77410 77411 77413 77422 77429 77430 77433 77444 77447 77449 77450 77477 77480 77484 77486 77491 77492 77493 77494 77501 77502 77503 77504 77505 77506 77507 77508 77510 77511 77512 77515 77516 77517 77518 77520 77521 77522 77523 77530 77531 77532 77534 77536 77539 77541 77542 77546 77547 77549 77550 77551 77552 77553 77554 77562 77563 77565 77566 77568 77571 77572 77573 77574 77577 77578 77581 77583 77584 77586 77587 77588 77590 77591 77592 77598 77617 77623 77650
2,Gulf Coast Community Services Association,Houston,+17133934700,"CEAP, CSBG",3,263,5745696,Brazoria; Galveston; Harris,77001 77002 77003 77004 77005 77006 77007 77008 77009 77010 77011 77012 77013 77014 77015 77016 77017 77018 77019 77020 77021 77022 77023 77024 77025 77026 77027 77028 77029 77030 77031 77032 77033 77034 77035 77036 77037 77038 77039 77040 77041 77042 77043 77044 77045 77046 77047 77048 77049 77050 77051 77052 77053 77054 77055 77056 77057 77058 77059 77060 77061 77062 77063 77064 77065 77066 77067 77068 77069 77070 77071 77072 77073 77074 77075 77076 77077 77078 77079 77080 77081 77082 77083 77084 77085 77086 77087 77088 77089 77090 77091 77092 77093 77094 77095 77096 77098 77099 77205 77206 77207 77208 77210 77215 77217 77218 77219 77220 77221 77222 77223 77224 77225 77226 77227 77228 77230 77231 77233 77234 77235 77236 77237 77238 77240 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77258 77259 77261 77262 77263 77265 77266 77267 77268 77269 77270 77271 77272 77273 77274 77275 77277 77279 77280 77282 77284 77287 77288 77289 77290 77291 77292 77293 77325 77336 77338 77339 77345 77346 77347 77373 77375 77377 77379 77383 77388 77389 77391 77396 77401 77402 77410 77411 77413 77422 77429 77430 77433 77444 77447 77449 77450 77477 77480 77484 77486 77491 77492 77493 77494 77501 77502 77503 77504 77505 77506 77507 77508 77510 77511 77512 77515 77516 77517 77518 77520 77521 77522 77523 77530 77531 77532 77534 77536 77539 77541 77542 77546 77547 77549 77550 77551 77552 77553 77554 77562 77563 77565 77566 77568 77571 77572 77573 77574 77577 77578 77581 77583 77584 77586 77587 77588 77590 77591 77592 77598 77617 77623 77650
3,"Community Services, Inc.",Corsicana,+19038722401,"CEAP, WAP",10,154,3013945,Anderson; Collin; Denton; Ellis; Henderson; Hunt; Kaufman; Navarro; Rockwall; Van Zandt,75002 75007 75009 75010 75011 75013 75022 75023 75024 75025 75026 75027 75028 75029 75032 75033 75034 75035 75036 75048 75056 75057 75065 75067 75068 75069 75070 75071 75072 75074 75075 75077 75078 75080 75082 75086 75087 75088 75089 75093 75094 75098 75102 75103 75105 75109 75110 75114 75117 75119 75124 75125 75126 75127 75135 75140 75142 75143 75144 75147 75148 75151 75152 75153 75154 75155 75156 75157 75158 75159 75160 75161 75163 75165 75166 75167 75168 75169 75173 75189 75252 75287 75370 75379 75401 75402 75403 75404 75407 75409 75422 75423 75424 75428 75442 75449 75452 75453 75454 75469 75474 75495 75496 75751 75752 75754 75756 75758 75763 75770 75778 75779 75790 75801 75802 75803 75832 75839 75844 75853 75859 75861 76041 76052 76064 76065 76078 76084 76177 76201 76202 76205 76206 76207 76208 76209 76210 76226 76227 76247 76249 76258 76259 76262 76266 76626 76639 76641 76648 76651 76670 76679 76681 76693
4,Texoma Council of Governments,Sherman,+19038932161,"CEAP, CSBG, WAP",19,198,2952503,Bowie; Camp; Cass; Collin; Cooke; Delta; Denton; Fannin; Franklin; Grayson; Hopkins; Hunt; Lamar; Marion; Morris; Rains; Red River; Rockwall; Titus,75002 75007 75009 75010 75011 75013 75020 75021 75022 75023 75024 75025 75026 75027 75028 75029 75032 75033 75034 75035 75036 75048 75056 75057 75058 75065 75067 75068 75069 75070 75071 75072 75074 75075 75076 75077 75078 75080 75082 75086 75087 75088 75089 75090 75091 75092 75093 75094 75098 75135 75160 75166 75169 75173 75189 75252 75287 75370 75379 75401 75402 75403 75404 75407 75409 75410 75411 75412 75414 75415 75416 75417 75418 75420 75421 75422 75423 75424 75426 75428 75431 75432 75433 75435 75436 75437 75438 75439 75440 75441 75442 75446 75447 75448 75449 75450 75451 75452 75453 75454 75455 75456 75457 75459 75460 75461 75462 75468 75469 75470 75471 75472 75473 75474 75476 75477 75478 75479 75480 75481 75482 75483 75486 75487 75488 75489 75490 75491 75492 75494 75495 75496 75497 75501 75503 75504 75505 75550 75551 75554 75555 75556 75558 75559 75560 75561 75562 75563 75564 75566 75567 75568 75569 75570 75571 75572 75574 75630 75638 75656 75657 75668 75683 75686 76052 76078 76177 76201 76202 76205 76206 76207 76208 76209 76210 76226 76227 76233 76238 76239 76240 76241 76245 76247 76249 76250 76252 76253 76258 76259 76262 76263 76264 76265 76266 76271 76272 76273
5,Community Council of Greater Dallas,Dallas,+12148715065,"CEAP, CSBG, WAP",1,127,2823843,Dallas,75001 75006 75007 75011 75014 75015 75016 75017 75019 75030 75038 75039 75040 75041 75042 75043 75044 75045 75046 75047 75048 75049 75050 75051 75052 75053 75054 75060 75061 75062 75063 75080 75081 75082 75083 75085 75088 75089 75104 75106 75115 75116 75123 75134 75137 75138 75141 75146 75149 75150 75154 75159 75172 75180 75181 75182 75185 75187 75201 75202 75203 75204 75205 75206 75207 75208 75209 75210 75211 75212 75214 75215 75216 75217 75218 75219 75220 75221 75222 75223 75224 75225 75226 75227 75228 75229 75230 75231 75232 75233 75234 75235 75236 75237 75238 75240 75241 75242 75243 75244 75246 75247 75248 75249 75250 75251 75253 75254 75313 75315 75336 75339 75342 75354 75355 75356 75357 75360 75367 75371 75372 75374 75376 75378 75380 75381 75382
6,Dallas County Department of Health and Human Services,Dallas,+12148191848,"CEAP, CSBG, WAP",1,127,2823843,Dallas,75001 75006 75007 75011 75014 75015 75016 75017 75019 75030 75038 75039 75040 75041 75042 75043 75044 75045 75046 75047 75048 75049 75050 75051 75052 75053 75054 75060 75061 75062 75063 75080 75081 75082 75083 75085 75088 75089 75104 75106 75115 75116 75123 75134 75137 75138 75141 75146 75149 75150 75154 75159 75172 75180 75181 75182 75185 75187 75201 75202 75203 75204 75205 75206 75207 75208 75209 75210 75211 75212 75214 75215 75216 75217 75218 75219 75220 75221 75222 75223 75224 75225 75226 75227 75228 75229 75230 75231 75232 75233 75234 75235 75236 75237 75238 75240 75241 75242 75243 75244 75246 75247 75248 75249 75250 75251 75253 75254 75313 75315 75336 75339 75342 75354 75355 75356 75357 75360 75367 75371 75372 75374 75376 75378 75380 75381 75382
7,Alamo Area Council of Governments,San Antonio,+12103625200,"CEAP, CSBG, WAP",12,169,2679447,Atascosa; Bandera; Bexar; Comal; Frio; Gillespie; Guadalupe; Karnes; Kendall; Kerr; Medina; Wilson,78002 78003 78004 78005 78006 78008 78009 78010 78011 78012 78013 78015 78016 78017 78023 78024 78025 78026 78027 78028 78029 78039 78050 78052 78054 78055 78056 78057 78058 78059 78061 78062 78063 78064 78065 78066 78069 78070 78073 78074 78101 78108 78109 78111 78112 78113 78114 78115 78116 78117 78118 78119 78121 78123 78124 78130 78131 78132 78133 78140 78141 78147 78148 78150 78151 78152 78154 78155 78156 78160 78161 78163 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299 78618 78623 78624 78631 78638 78648 78655 78670 78671 78675 78850 78861 78883 78884 78885 78886
8,Greater East Texas Community Action Program (GETCAP),Nacogdoches,+18006215746,"CEAP, CSBG, WAP",30,254,2411544,Anderson; Angelina; Chambers; Cherokee; Galveston; Gregg; Hardin; Harrison; Henderson; Houston; Jasper; Jefferson; Kaufman; Liberty; Nacogdoches; Newton; Orange; Panola; Polk; Rusk; Sabine; San Augustine; San Jacinto; Shelby; Smith; Trinity; Tyler; Upshur; Van Zandt; Wood,75103 75114 75117 75124 75126 75127 75140 75142 75143 75147 75148 75156 75157 75158 75159 75160 75161 75163 75169 75410 75431 75494 75497 75601 75602 75603 75604 75605 75606 75607 75608 75615 75631 75633 75639 75640 75642 75643 75644 75645 75647 75650 75651 75652 75654 75660 75661 75662 75663 75666 75667 75669 75670 75671 75672 75681 75683 75684 75686 75688 75691 75692 75693 75701 75702 75703 75704 75705 75706 75707 75708 75709 75710 75711 75712 75713 75750 75751 75752 75754 75755 75756 75757 75758 75759 75760 75762 75763 75764 75765 75766 75770 75771 75773 75778 75779 75783 75784 75785 75789 75790 75791 75792 75801 75802 75803 75832 75835 75839 75844 75845 75847 75851 75853 75856 75861 75862 75865 75901 75902 75903 75904 75915 75925 75926 75928 75929 75930 75931 75932 75933 75935 75936 75937 75938 75939 75941 75942 75943 75944 75946 75948 75949 75951 75954 75956 75959 75960 75961 75963 75964 75965 75966 75968 75969 75972 75973 75974 75975 75976 75977 75979 75980 77320 77327 77328 77331 77335 77351 77358 77359 77360 77364 77371 77372 77376 77378 77399 77510 77511 77514 77517 77518 77519 77523 77533 77535 77538 77539 77546 77549 77550 77551 77552 77553 77554 77560 77563 77564 77565 77568 77573 77574 77575 77580 77585 77590 77591 77592 77597 77611 77612 77613 77616 77617 77619 77622 77623 77624 77625 77627 77629 77630 77631 77632 77639 77640 77641 77642 77643 77650 77651 77655 77656 77657 77659 77660 77662 77663 77664 77665 77670 77701 77702 77703 77704 77705 77706 77707 77708 77713 77720 77725 77726
9,"Fort Worth, City of, Neighborhood Services Department",Fort Worth,+18173925790,"CEAP, CSBG, WAP",1,91,2373979,Tarrant,75050 75051 75052 75053 75054 75261 76001 76002 76003 76004 76005 76006 76007 76008 76010 76011 76012 76013 76014 76015 76016 76017 76018 76020 76021 76022 76028 76034 76036 76039 76040 76051 76052 76053 76054 76060 76063 76071 76092 76094 76095 76096 76099 76101 76102 76103 76104 76105 76106 76107 76108 76109 76110 76111 76112 76113 76114 76115 76116 76117 76118 76119 76120 76121 76123 76124 76126 76127 76131 76132 76133 76134 76135 76136 76137 76140 76147 76148 76155 76161 76162 76163 76164 76177 76179 76180 76182 76185 76244 76248 76262
10,Bexar County Department of Community Resources,San Antonio,+12103353666,"CEAP, CSBG, WAP",1,97,2107424,Bexar,78002 78006 78015 78023 78039 78052 78054 78069 78073 78101 78109 78112 78148 78150 78152 78154 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299
