WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA
,1,"Agricultural and Labor Program, Inc.",,,+18639563491,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",7,123,"1,994,487",Collier; Glades; Hendry; Highlands; Martin; Polk; St. Lucie,33438 33440 33455 33469 33471 33475 33801 33802 33803 33804 33805 33806 33807 33809 33810 33811 33812 33813 33815 33820 33823 33825 33826 33827 33830 33831 33835 33836 33837 33838 33839 33840 33841 33843 33844 33845 33846 33849 33850 33851 33852 33853 33854 33855 33856 33857 33858 33859 33860 33862 33867 33868 33870 33871 33872 33875 33876 33877 33880 33881 33882 33883 33884 33885 33896 33897 33898 33935 33960 33975 34101 34102 34103 34104 34105 34106 34107 34108 34109 34110 34112 34113 34114 34116 34117 34119 34120 34134 34141 34142 34145 34146 34759 34945 34946 34947 34948 34949 34950 34951 34952 34953 34954 34956 34957 34958 34974 34979 34981 34982 34983 34984 34985 34986 34987 34988 34990 34991 34992 34994 34995 34996 34997,FloridaCommerce LIHEAP provider list,agricultural-and-labor-program-liheap,,,,,,,,,,,,,,,,,
,2,"Bay County Council on Aging, Inc.",,,+18502150173,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,17,"199,718",Bay,32401 32402 32403 32404 32405 32406 32407 32408 32409 32411 32413 32417 32437 32438 32444 32456 32466,FloridaCommerce LIHEAP provider list,bay-county-council-on-aging-liheap,,,,,,,,,,,,,,,,,
,3,Brevard County Department of Housing and Human Services,,,+13216331951,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,42,"658,447",Brevard,32754 32780 32781 32783 32796 32901 32902 32903 32904 32905 32906 32907 32908 32909 32910 32911 32912 32920 32922 32923 32924 32925 32926 32927 32931 32932 32934 32935 32936 32937 32940 32941 32949 32950 32951 32952 32953 32954 32955 32956 32959 32976,FloridaCommerce LIHEAP provider list,brevard-county-department-of-housing-and-human-services-liheap,,,,,,,,,,,,,,,,,
,4,"Broward County Department of Human Services, Community Action Agency",,,+19543575025,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,81,"2,037,472",Broward,33004 33008 33009 33019 33020 33021 33022 33023 33024 33025 33026 33027 33028 33029 33060 33061 33062 33063 33064 33065 33066 33067 33068 33069 33071 33073 33074 33075 33076 33077 33081 33082 33083 33084 33093 33097 33301 33302 33303 33304 33305 33306 33307 33308 33309 33310 33311 33312 33313 33314 33315 33316 33317 33318 33319 33320 33321 33322 33323 33324 33325 33326 33327 33328 33329 33330 33331 33332 33334 33335 33338 33339 33345 33346 33348 33351 33355 33359 33441 33442 33443,FloridaCommerce LIHEAP provider list,broward-county-department-of-human-services-community-action-agency-liheap,,,,,,,,,,,,,,,,,
,5,"Capital Area Community Action Agency, Inc.",,,+18507590824,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",8,43,"447,763",Calhoun; Franklin; Gadsden; Gulf; Jefferson; Leon; Liberty; Wakulla,32301 32302 32303 32304 32305 32308 32309 32310 32311 32312 32314 32315 32316 32317 32318 32320 32321 32322 32324 32326 32327 32328 32331 32332 32333 32334 32336 32343 32344 32345 32346 32351 32352 32358 32360 32362 32421 32424 32430 32438 32449 32456 32465,FloridaCommerce LIHEAP provider list,capital-area-community-action-agency-liheap,,,,,,,,,,,,,,,,,
,6,"Central Florida Community Action Agency, Inc.",,,+13523737667,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",3,70,"768,452",Alachua; Levy; Marion,32113 32133 32134 32162 32179 32183 32195 32601 32603 32604 32605 32606 32607 32608 32609 32610 32614 32615 32616 32617 32618 32621 32622 32625 32626 32627 32631 32635 32640 32641 32643 32644 32653 32655 32658 32666 32667 32668 32669 32686 32693 32694 32696 32702 32784 34420 34421 34430 34431 34432 34449 34470 34471 34472 34473 34474 34475 34476 34477 34478 34479 34480 34481 34482 34483 34488 34489 34491 34492 34498,FloridaCommerce LIHEAP provider list,central-florida-community-action-agency-liheap,,,,,,,,,,,,,,,,,
,7,Charlotte County Department of Human Services,,,+19418336500,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,17,"212,122",Charlotte,33938 33946 33947 33948 33949 33950 33951 33952 33953 33954 33955 33980 33981 33982 33983 34223 34224,FloridaCommerce LIHEAP provider list,charlotte-county-department-of-human-services-liheap,,,,,,,,,,,,,,,,,
,8,Citrus County Division of Housing Services,,,+13525277520,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,22,"170,174",Citrus,34423 34428 34429 34433 34434 34436 34441 34442 34445 34446 34447 34448 34449 34450 34451 34452 34453 34460 34461 34464 34465 34487,FloridaCommerce LIHEAP provider list,citrus-county-division-of-housing-services-liheap,,,,,,,,,,,,,,,,,
,9,"Community Action Program Committee, Inc.",,,+18506072088,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,23,"331,275",Escambia,32501 32502 32503 32504 32505 32506 32507 32508 32513 32514 32516 32522 32523 32524 32526 32533 32534 32535 32560 32561 32568 32577 32591,FloridaCommerce LIHEAP provider list,community-action-program-committee-liheap,,,,,,,,,,,,,,,,,
,10,Desoto County Board of Commissioners,,,+18639934858,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,2,"36,744",DeSoto,34266 34269,FloridaCommerce LIHEAP provider list,desoto-county-board-of-commissioners-liheap,,,,,,,,,,,,,,,,,
,11,"Economic Opportunities Council of Indian River County, Inc.",,,+17725624177,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",2,19,"214,508",Indian River; Okeechobee,32948 32957 32958 32960 32961 32962 32963 32964 32965 32966 32967 32968 32969 32970 32971 32978 34972 34973 34974,FloridaCommerce LIHEAP provider list,economic-opportunities-council-of-indian-river-county-liheap,,,,,,,,,,,,,,,,,
,12,FloridaCommerce (state administers LIHEAP directly),,,+18507178450,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,26,"494,605",Seminole,32701 32703 32707 32708 32714 32715 32716 32718 32719 32730 32732 32746 32747 32750 32751 32752 32762 32765 32766 32771 32772 32773 32779 32791 32792 32795,FloridaCommerce LIHEAP provider list,floridacommerce-state-administers-liheap-directly-liheap,,,,,,,,,,,,,,,,,
,13,Hillsborough County Social Services Department,,,+18132725220,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,81,"1,581,426",Hillsborough,33508 33509 33510 33511 33527 33530 33534 33547 33548 33549 33550 33556 33558 33559 33563 33564 33565 33566 33567 33568 33569 33570 33571 33572 33573 33575 33578 33579 33583 33584 33587 33592 33594 33595 33596 33598 33601 33602 33603 33604 33605 33606 33607 33609 33610 33611 33612 33613 33614 33615 33616 33617 33618 33619 33621 33622 33623 33624 33625 33626 33629 33634 33635 33637 33646 33647 33672 33673 33674 33675 33677 33679 33680 33681 33682 33684 33685 33687 33688 33689 33694,FloridaCommerce LIHEAP provider list,hillsborough-county-social-services-department-liheap,,,,,,,,,,,,,,,,,
,14,Jackson County Senior Citizens Org. Inc.,,,+18502634650,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,12,"49,980",Jackson,32420 32423 32426 32431 32440 32442 32443 32445 32446 32447 32448 32460,FloridaCommerce LIHEAP provider list,jackson-county-senior-citizens-org-liheap,,,,,,,,,,,,,,,,,
,15,"Lake Community Action Agency, Inc.",,,+13524340554,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,35,"444,204",Lake,32102 32158 32159 32163 32195 32702 32720 32726 32727 32735 32736 32756 32757 32767 32776 32778 32784 34705 34711 34712 34713 34714 34715 34731 34736 34737 34748 34749 34753 34755 34756 34762 34788 34789 34797,FloridaCommerce LIHEAP provider list,lake-community-action-agency-liheap,,,,,,,,,,,,,,,,,
,16,Lee County Department of Human Services,,,+12395337900,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,47,"860,959",Lee,33901 33902 33903 33904 33905 33906 33907 33908 33909 33910 33912 33913 33914 33915 33916 33917 33918 33919 33920 33921 33922 33924 33928 33929 33931 33932 33936 33955 33956 33957 33965 33966 33967 33970 33971 33972 33973 33974 33976 33990 33991 33993 33994 34133 34134 34135 34136,FloridaCommerce LIHEAP provider list,lee-county-department-of-human-services-liheap,,,,,,,,,,,,,,,,,
,17,Miami-Dade County Community Action Agency,,,+17864694640,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,114,"2,838,461",Miami-Dade,33002 33010 33011 33012 33013 33014 33015 33016 33017 33018 33030 33031 33032 33033 33034 33035 33054 33055 33056 33090 33092 33101 33109 33114 33116 33119 33122 33124 33125 33126 33127 33128 33129 33130 33131 33132 33133 33134 33135 33136 33137 33138 33139 33140 33141 33142 33143 33144 33145 33146 33147 33149 33150 33152 33153 33154 33155 33156 33157 33158 33160 33161 33162 33163 33164 33165 33166 33167 33168 33169 33170 33172 33173 33174 33175 33176 33177 33178 33179 33180 33181 33182 33183 33184 33185 33186 33187 33189 33190 33193 33194 33195 33196 33197 33222 33231 33233 33234 33238 33239 33242 33243 33245 33247 33255 33256 33257 33261 33265 33266 33269 33280 33283 33296,FloridaCommerce LIHEAP provider list,miami-dade-county-community-action-agency-liheap,,,,,,,,,,,,,,,,,
,18,Monroe County Board of County Commissioners,,,+13052924408,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,12,"80,908",Monroe,33001 33036 33037 33040 33041 33042 33043 33045 33050 33051 33052 33070,FloridaCommerce LIHEAP provider list,monroe-county-board-of-county-commissioners-liheap,,,,,,,,,,,,,,,,,
,19,"Northeast Florida Community Action Agency, Inc.",,,+19042594481,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",7,97,"1,974,593",Baker; Clay; Duval; Flagler; Nassau; Putnam; St. Johns,32003 32004 32006 32009 32011 32033 32034 32035 32040 32041 32043 32046 32050 32063 32065 32067 32068 32073 32080 32081 32082 32084 32085 32086 32087 32092 32095 32097 32110 32112 32131 32135 32136 32137 32139 32140 32145 32147 32148 32164 32174 32177 32178 32181 32187 32189 32193 32202 32203 32204 32205 32206 32207 32208 32209 32210 32211 32212 32216 32217 32218 32219 32220 32221 32222 32223 32224 32225 32226 32227 32228 32229 32233 32234 32235 32236 32238 32239 32240 32241 32244 32245 32246 32247 32250 32254 32255 32256 32257 32258 32259 32260 32266 32277 32640 32656 32666,FloridaCommerce LIHEAP provider list,northeast-florida-community-action-agency-liheap,,,,,,,,,,,,,,,,,
,20,Orange County Youth and Family Services Division,,,+14078367429,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,73,"1,533,646",Orange,32703 32704 32709 32710 32712 32733 32751 32757 32768 32777 32789 32790 32792 32793 32794 32798 32801 32802 32803 32804 32805 32806 32807 32808 32809 32810 32811 32812 32814 32817 32818 32819 32820 32821 32822 32824 32825 32826 32827 32828 32829 32830 32831 32832 32833 32835 32836 32837 32839 32853 32854 32855 32856 32857 32858 32859 32860 32861 32862 32867 32868 32869 32872 32877 32878 34734 34740 34760 34761 34777 34778 34786 34787,FloridaCommerce LIHEAP provider list,orange-county-youth-and-family-services-division-liheap,,,,,,,,,,,,,,,,,
,21,"Osceola County Council on Aging, Inc",,,+14078468532,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,18,"468,058",Osceola,33848 33896 34714 34739 34741 34742 34743 34744 34745 34746 34747 34758 34759 34769 34770 34771 34772 34773,FloridaCommerce LIHEAP provider list,osceola-county-council-on-aging-liheap,,,,,,,,,,,,,,,,,
,22,Palm Beach County,,,+15613554792,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,72,"1,582,055",Palm Beach,33401 33402 33403 33404 33405 33406 33407 33408 33409 33410 33411 33412 33413 33414 33415 33416 33417 33418 33419 33420 33421 33422 33424 33425 33426 33427 33428 33429 33430 33431 33432 33433 33434 33435 33436 33437 33438 33444 33445 33446 33448 33449 33454 33458 33460 33461 33462 33463 33465 33466 33467 33468 33469 33470 33472 33473 33474 33476 33477 33478 33480 33481 33482 33483 33484 33486 33487 33488 33493 33496 33497 33498,FloridaCommerce LIHEAP provider list,palm-beach-county-liheap,,,,,,,,,,,,,,,,,
,23,"Pinellas County Urban League, Inc.",,,+17273270977,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,69,"965,870",Pinellas,33701 33702 33703 33704 33705 33706 33707 33708 33709 33710 33711 33712 33713 33714 33715 33716 33730 33731 33732 33733 33734 33736 33738 33741 33742 33743 33744 33747 33755 33756 33757 33758 33759 33760 33761 33762 33763 33764 33765 33766 33767 33770 33771 33772 33773 33774 33775 33776 33777 33778 33779 33780 33781 33782 33784 33785 33786 34660 34677 34681 34682 34683 34684 34685 34688 34689 34695 34697 34698,FloridaCommerce LIHEAP provider list,pinellas-county-urban-league-liheap,,,,,,,,,,,,,,,,,
,24,"Step Up Suncoast, Inc.",,,+19418270188,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",2,30,"484,420",Hardee; Manatee,33834 33865 33873 33890 34201 34202 34203 34204 34205 34206 34207 34208 34209 34210 34211 34212 34215 34216 34217 34219 34220 34221 34222 34228 34243 34251 34264 34270 34280 34282,FloridaCommerce LIHEAP provider list,step-up-suncoast-liheap,,,,,,,,,,,,,,,,,
,25,"Suwannee River Economic Council, Inc.",,,+19049646696,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",10,40,"266,354",Bradford; Columbia; Dixie; Gilchrist; Hamilton; Lafayette; Madison; Suwannee; Taylor; Union,32008 32024 32025 32038 32042 32044 32052 32053 32054 32055 32056 32058 32059 32060 32061 32062 32064 32066 32071 32083 32091 32094 32096 32331 32336 32340 32347 32348 32350 32356 32359 32619 32622 32628 32643 32648 32656 32666 32680 32693,FloridaCommerce LIHEAP provider list,suwannee-river-economic-council-liheap,,,,,,,,,,,,,,,,,
,26,The Salvation Army,,,+19419544673,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,33,"476,604",Sarasota,34223 34228 34229 34230 34231 34232 34233 34234 34235 34236 34237 34238 34239 34240 34241 34242 34243 34272 34274 34275 34276 34277 34284 34285 34286 34287 34288 34289 34290 34291 34292 34293 34295,FloridaCommerce LIHEAP provider list,the-salvation-army-liheap,,,,,,,,,,,,,,,,,
,27,"Tri-County Community Council, Inc.",,,+18503061134,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",5,42,"564,181",Holmes; Okaloosa; Santa Rosa; Walton; Washington,32425 32427 32428 32431 32433 32435 32437 32439 32440 32455 32459 32461 32462 32464 32530 32531 32536 32539 32540 32541 32542 32544 32547 32548 32549 32550 32561 32562 32563 32564 32565 32566 32567 32569 32570 32571 32572 32578 32579 32580 32583 32588,FloridaCommerce LIHEAP provider list,tri-county-community-council-liheap,,,,,,,,,,,,,,,,,
,28,Volusia County Community Assistance Division,,,+13867365956,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",1,43,"602,772",Volusia,32102 32114 32115 32117 32118 32119 32120 32121 32122 32124 32125 32126 32127 32128 32129 32130 32132 32141 32168 32169 32170 32173 32174 32175 32176 32180 32190 32713 32720 32721 32723 32724 32725 32728 32738 32739 32744 32753 32754 32759 32763 32764 32774,FloridaCommerce LIHEAP provider list,volusia-county-community-assistance-division-liheap,,,,,,,,,,,,,,,,,
,29,You Thrive Florida,,,+13527961425,Low-Income Home Energy Assistance Program (LIHEAP),"electric_bill, gas_bill, reconnect_fee, utility_deposit",3,59,"1,031,957",Hernando; Pasco; Sumter,32159 32162 32163 33513 33514 33521 33523 33524 33525 33526 33538 33539 33540 33541 33542 33543 33544 33545 33549 33556 33558 33559 33576 33585 33597 34484 34601 34602 34603 34604 34605 34606 34607 34608 34609 34610 34611 34613 34614 34637 34638 34639 34652 34653 34654 34655 34656 34661 34667 34668 34669 34673 34674 34680 34690 34691 34692 34762 34785,FloridaCommerce LIHEAP provider list,you-thrive-florida-liheap,,,,,,,,,,,,,,,,,
