	66	Johnston County Department of Social Services	Smithfield		+19199895300	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	19	249,794	Johnston	27501 27504 27520 27524 27527 27528 27529 27542 27557 27568 27569 27576 27577 27591 27592 27593 27597 28334 28366	NCDHHS Local DSS Directory	johnston-county-department-of-social-services-energy	johnston-county-department-of-social-services-emergency
	67	Jones County Department of Social Services	Trenton		+12524482581	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	10	20,850	Jones	79501 79503 79520 79525 79533 79536 79553 79560 79561 79601	NCDHHS Local DSS Directory	jones-county-department-of-social-services-energy	jones-county-department-of-social-services-emergency
	68	Lake Community Action Agency, Inc.			+13524340554	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	35	444,204	Lake	32102 32158 32159 32163 32195 32702 32720 32726 32727 32735 32736 32756 32757 32767 32776 32778 32784 34705 34711 34712 34713 34714 34715 34731 34736 34737 34748 34749 34753 34755 34756 34762 34788 34789 34797	FloridaCommerce LIHEAP provider list	lake-community-action-agency-inc-liheap	
	69	Lee County Department of Human Services			+12395337900	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	7	18,451	Lee	77853 78650 78659 78942 78946 78947 78948	FloridaCommerce LIHEAP provider list	lee-county-department-of-human-services-liheap	
	70	Lee County Department of Social Services	Sanford		+19197184690	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	18,451	Lee	77853 78650 78659 78942 78946 78947 78948	NCDHHS Local DSS Directory	lee-county-department-of-social-services-energy	lee-county-department-of-social-services-emergency
	71	Lenoir County Department of Social Services	Kinston		+12525596400	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	55,332	Lenoir	28501 28504 28525 28530 28538 28551 28572 28578	NCDHHS Local DSS Directory	lenoir-county-department-of-social-services-energy	lenoir-county-department-of-social-services-emergency
	72	Lincoln County Department of Social Services	Lincolnton		+17047320738	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	10	97,611	Lincoln	28006 28021 28033 28037 28080 28092 28093 28164 28168 28650	NCDHHS Local DSS Directory	lincoln-county-department-of-social-services-energy	lincoln-county-department-of-social-services-emergency
	73	Macon County Department of Social Services	Franklin		+18283492124	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	6	38,717	Macon	28734 28741 28744 28763 28775 28781	NCDHHS Local DSS Directory	macon-county-department-of-social-services-energy	macon-county-department-of-social-services-emergency
	74	Madison County Department of Social Services	Marshall		+18286499498	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	4	13,877	Madison	75852 77864 77871 77872	NCDHHS Local DSS Directory	madison-county-department-of-social-services-energy	madison-county-department-of-social-services-emergency
	75	Martin County Department of Social Services	Williamston		+12527894400	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	5,179	Martin	79749 79782 79783	NCDHHS Local DSS Directory	martin-county-department-of-social-services-energy	martin-county-department-of-social-services-emergency
