	1	Agricultural and Labor Program, Inc.			+18639563491	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	7	69	1,035,380	Collier; Glades; Hendry; Highlands; Martin; Polk; St. Lucie	FloridaCommerce LIHEAP provider list	agricultural-and-labor-program-inc-liheap	
	2	Alamance County Department of Social Services	Burlington		+13365706532	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	183,040	Alamance	NCDHHS Local DSS Directory	alamance-county-department-of-social-services-energy	alamance-county-department-of-social-services-emergency
	3	Alexander County Department of Social Services	Taylorsville		+18286321080	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	4	36,693	Alexander	NCDHHS Local DSS Directory	alexander-county-department-of-social-services-energy	alexander-county-department-of-social-services-emergency
	4	Alleghany County Department of Social Services	Sparta		+13363722411	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	11,379	Alleghany	NCDHHS Local DSS Directory	alleghany-county-department-of-social-services-energy	alleghany-county-department-of-social-services-emergency
	5	Anson County Department of Social Services	Wadesboro		+17046949351	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	6	22,432	Anson	NCDHHS Local DSS Directory	anson-county-department-of-social-services-energy	anson-county-department-of-social-services-emergency
	6	Ashe County Department of Social Services	Jefferson		+13368465719	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	27,266	Ashe	NCDHHS Local DSS Directory	ashe-county-department-of-social-services-energy	ashe-county-department-of-social-services-emergency
	7	Avery County Department of Social Services	Newland		+18287338230	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	5	17,811	Avery	NCDHHS Local DSS Directory	avery-county-department-of-social-services-energy	avery-county-department-of-social-services-emergency
	8	Bay County Council on Aging, Inc.			+18502150173	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	17	199,718	Bay	FloridaCommerce LIHEAP provider list	bay-county-council-on-aging-inc-liheap	
	9	Beaufort County Department of Social Services	Washington		+12529755500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	44,576	Beaufort	NCDHHS Local DSS Directory	beaufort-county-department-of-social-services-energy	beaufort-county-department-of-social-services-emergency
	10	Bertie County Department of Social Services			+12527945320	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	16,939	Bertie	NCDHHS Local DSS Directory	bertie-county-department-of-social-services-energy	bertie-county-department-of-social-services-emergency
