bakerripley-ceap	bakerripley-csbg
gulf-coast-community-services-association-ceap	gulf-coast-community-services-association-csbg
the-salvation-army-northwest-community-center	
the-salvation-army-international-community-center	
the-salvation-army-aldine-westfield-community-center	
the-salvation-army-temple-community-center	
the-salvation-army-east-harris-county-community-center	
catholic-charities-main-office	
catholic-charities-guadalupe-basic-needs-center	
catholic-charities-st-frances-cabrini-center	
catholic-charities-san-jose-clinic	
clear-lake-food-pantry	
klein-united-methodist-church-food-pantry	
trinity-klein-food-pantry	
target-hunger	
ymca-of-greater-houston	
society-of-st-vincent-de-paul-of-harris-county	
southeast-area-ministries	
wheeler-avenue-baptist-church-social-service-center	
st-joseph-social-ministry	
st-mary-magdalene-social-services	
st-justin-martyr-social-ministry	
christian-community-service-center-inc	
cypress-assistance-ministries	
covenant-house-texas	
windsor-village-united-methodist-church	
memorial-assistance-ministries	
northwest-assistance-ministries	
st-pius-catholic-church	
harris-county-area-agency-on-aging	
my-brother-s-keeper-outreach-center	
st-john-vianney-social-ministry	
humble-area-assistance-ministries	
linc-houston-community-services	
riceville-mt-olive-baptist-church	
west-houston-assistance-ministries	
interfaith-caring-ministries	
katy-christian-ministries	
cathedral-health-and-outreach-ministries	
tomball-emergency-assistance-ministries	
aids-foundation-houston-inc	
bering-omega-community-services	
brentwood-community-foundation	
houston-area-urban-league	
harris-county-community-services	
harris-county-community-services-nw-satellite-office	
star-of-hope	
wesley-community-center-inc	
collaborative-for-children	
avance-inc	
harris-county-department-of-education	
united-way-of-greater-houston	
community-services-inc-ceap	
texoma-council-of-governments-ceap	texoma-council-of-governments-csbg
community-council-of-greater-dallas-ceap	community-council-of-greater-dallas-csbg
dallas-county-department-of-health-and-human-services-ceap	dallas-county-department-of-health-and-human-services-csbg
alamo-area-council-of-governments-ceap	alamo-area-council-of-governments-csbg
greater-east-texas-community-action-program-getcap-ceap	greater-east-texas-community-action-program-getcap-csbg
fort-worth-city-of-neighborhood-services-department-ceap	fort-worth-city-of-neighborhood-services-department-csbg
bexar-county-department-of-community-resources-ceap	bexar-county-department-of-community-resources-csbg
san-antonio-city-of-department-of-human-services-ceap	san-antonio-city-of-department-of-human-services-csbg
community-action-corporation-of-south-texas-ceap	community-action-corporation-of-south-texas-csbg
combined-community-action-inc-ceap	combined-community-action-inc-csbg
city-of-austin-health-and-human-services-department-ceap	city-of-austin-health-and-human-services-department-csbg
travis-county-health-human-services-veterans-services-ceap	travis-county-health-human-services-veterans-services-csbg
hill-country-community-action-association-inc-ceap	hill-country-community-action-association-inc-csbg
brazos-valley-community-action-programs-ceap	brazos-valley-community-action-programs-csbg
community-council-of-south-central-texas-inc-ceap	community-council-of-south-central-texas-inc-csbg
catholic-charities-mamie-george-community-center	
catholic-charities-san-jose-clinic-rosenberg	
economic-opportunities-advancement-corporation-ceap	economic-opportunities-advancement-corporation-csbg
hidalgo-county-community-services-agency-ceap	hidalgo-county-community-services-agency-csbg
rolling-plains-management-corporation-ceap	rolling-plains-management-corporation-csbg
el-paso-community-action-project-bravo-ceap	el-paso-community-action-project-bravo-csbg
williamson-burnet-county-opportunities-inc-ceap	williamson-burnet-county-opportunities-inc-csbg
crossroads-community-action-ceap	crossroads-community-action-csbg
the-salvation-army-conroe-community-center	
texas-neighborhood-services-ceap	texas-neighborhood-services-csbg
west-texas-opportunities-inc-ceap	west-texas-opportunities-inc-csbg
panhandle-community-services-ceap	panhandle-community-services-csbg
south-plains-community-action-association-inc-ceap	south-plains-community-action-association-inc-csbg
southeast-texas-regional-planning-commission-ceap	
catholic-charities-beacon-of-hope-center	
galveston-county-food-bank	
nueces-county-community-action-agency-ceap	nueces-county-community-action-agency-csbg
tri-county-community-action-inc-ceap	tri-county-community-action-inc-csbg
community-services-of-northeast-texas-inc-ceap	community-services-of-northeast-texas-inc-csbg
community-action-inc-of-central-texas-ceap	community-action-inc-of-central-texas-csbg
guadalupe-economic-services-corporation-wap	
lubbock-city-of-community-development-department-ceap	
webb-county-community-action-agency-ceap	webb-county-community-action-agency-csbg
concho-valley-community-action-agency-ceap	concho-valley-community-action-agency-csbg
cornerstone-community-action-agency-ceap	cornerstone-community-action-agency-csbg
south-texas-development-council-ceap	
economic-action-committee-of-the-gulf-coast-ceap	
aspermont-small-business-development-center-inc-ceap	aspermont-small-business-development-center-inc-csbg
community-action-social-services-education-ceap	
kleberg-county-human-services-ceap	
pecos-county-community-action-agency-ceap	
