Organization,City,Address,Phone,Counties served,Help offered,State,Why not listed
Alachua County Emergency Financial Assistance Program (EFAP) - Housing/Rent,Gainesville,"218 SE 24th St, Gainesville, FL 32641",352-264-6750,Alachua County,rent_assistance,FL,no match in the state directory — needs its own cited source
Alachua County Emergency Financial Assistance Program (EFAP) - Utility,Gainesville,"218 SE 24th St, Gainesville, FL 32641",352-264-6750,Alachua County,"electric_bill, gas_bill",FL,no match in the state directory — needs its own cited source
Local Food Assistance Resource Network,Varies by provider,Varies by participating provider,N/A,Alachua County,food_pantry,,placeholder text in address/city — not a real record
Baker County Food Assistance / Local Pantry Referral,Varies by provider,Varies by provider,N/A,Baker County,food_pantry,,placeholder text in address/city — not a real record
Bay County Housing / Emergency Assistance Services,Panama City,"840 W 11th St, Panama City, FL 32401",850-248-8140,Bay County,rent_assistance,FL,no match in the state directory — needs its own cited source
Bay County Food Pantries and School Lunch Sites,Panama City,"840 W 11th St, Panama City, FL 32401",850-248-8140,Bay County,food_pantry,FL,no match in the state directory — needs its own cited source
Bradford County Food Assistance / Local Pantry Referral,Varies by provider,Varies by provider,N/A,Bradford County,food_pantry,,placeholder text in address/city — not a real record
Brevard County Food/Nutrition Assistance Referral,Varies by provider,Varies by provider,N/A,Brevard County,food_pantry,,placeholder text in address/city — not a real record
"Healthy Mothers, Healthy Babies — Emergency Basic Needs Assistance",Verify current location,Verify intake location when applying,N/A,Broward County,food_pantry,,placeholder text in address/city — not a real record
Local Housing/Rent Assistance Referral — Calhoun County,Verify current location,Confirm current local intake location,850-674-5067,Calhoun County,rent_assistance,,placeholder text in address/city — not a real record
WIC — Florida Department of Health in Calhoun County,Blountstown,"19611 SR 20 W, Blountstown, FL 32424",800-342-3556,Calhoun County,food_pantry,FL,no match in the state directory — needs its own cited source
Farm Share — Emergency Food Assistance Referral,Homestead,"14125 SW 320th St, Homestead, FL 33033",305-246-3276,Citrus County,food_pantry,FL,no match in the state directory — needs its own cited source
Impact Clay / Clay County Community Resource Guide — Rental and Homelessness Assistance,Green Cove Springs,"P.O. Box 1366, Green Cove Springs, FL 32043",904-269-6300,Clay County,"eviction_prevention, rent_assistance",FL,no match in the state directory — needs its own cited source
Impact Clay / Clay County Community Resource Guide — Food Assistance,Green Cove Springs,"P.O. Box 1366, Green Cove Springs, FL 32043",904-269-6300,Clay County,food_pantry,FL,no match in the state directory — needs its own cited source
Collier County Community & Human Services — Social Services,Naples,"3339 Tamiami Trail E, Naples, FL 34112",239-252-2273,Collier County,rent_assistance,FL,no match in the state directory — needs its own cited source
Harry Chapin Food Bank — Collier County Center / Partner Pantry Network,Naples,"3940 Prospect Ave #101, Naples, FL 34104",239-334-7007,Collier County,food_pantry,FL,no match in the state directory — needs its own cited source
Columbia County SHIP / Local Housing Assistance Program,Lake City,"135 NE Hernando Ave, Suite 203, Lake City, FL 32055",386-758-1005,Columbia County,rent_assistance,FL,no match in the state directory — needs its own cited source
Christian Service Center of Columbia County — Food Pantry,Lake City,"421 NW Washington St, Lake City, FL 32055",386-755-1770,Columbia County,food_pantry,FL,no match in the state directory — needs its own cited source
Catholic Charities — Food Distribution,Arcadia,"1330 E Oak St, Arcadia, FL 34266",863-494-1068,DeSoto County,food_pantry,FL,no match in the state directory — needs its own cited source
Florida Department of Health in Dixie County — WIC,Cross City,"149 NE 241st St, Cross City, FL 32628",800-342-3556,Dixie County,food_pantry,FL,no match in the state directory — needs its own cited source
