rank,score,org_name,program,phone,city,counties,population_reach,largest_counties,zips,reach,status,funding_lasts_until,reopens_on,how_to_apply,hours,daily_cap,documents_required,most_common_turnaway,anything_changing,spoke_with,verify_outcome,note,called_at,va,source_url,needs_source_verification
1,59.39,BakerRipley,Comprehensive Energy Assistance Program (CEAP),+17136679400,Houston,3,5789933,"Harris, Brazoria, Galveston",177,98.0,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
2,59.39,Gulf Coast Community Services Association,Comprehensive Energy Assistance Program (CEAP),+17133934700,Houston,3,5789933,"Harris, Brazoria, Galveston",177,98.0,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
3,58.3,"Community Services, Inc.",Comprehensive Energy Assistance Program (CEAP),+19038722401,Corsicana,10,3254583,"Collin, Denton, Ellis",161,94.3,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
4,58.22,Texoma Council of Governments,Comprehensive Energy Assistance Program (CEAP),+19038932161,Sherman,19,3107798,"Collin, Denton, Grayson",200,94.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
5,58.07,Alamo Area Council of Governments,Comprehensive Energy Assistance Program (CEAP),+12103625200,San Antonio,12,2879722,"Bexar, Comal, Guadalupe",151,93.6,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
6,57.92,Community Council of Greater Dallas,Comprehensive Energy Assistance Program (CEAP),+12148715065,Dallas,1,2656028,Dallas,95,93.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
7,57.92,Dallas County Department of Health and Human Services,Comprehensive Energy Assistance Program (CEAP),+12148191848,Dallas,1,2656028,Dallas,95,93.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
8,57.73,Greater East Texas Community Action Program (GETCAP),Comprehensive Energy Assistance Program (CEAP),+18006215746,Nacogdoches,30,2398525,"Galveston, Jefferson, Smith",260,92.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
9,57.59,"Fort Worth, City of, Neighborhood Services Department",Comprehensive Energy Assistance Program (CEAP),+18173925790,Fort Worth,1,2230708,Tarrant,76,92.0,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
10,57.5,Bexar County Department of Community Resources,Comprehensive Energy Assistance Program (CEAP),+12103353666,San Antonio,1,2127737,Bexar,78,91.7,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
11,57.5,"San Antonio, City of, Department of Human Services",Comprehensive Energy Assistance Program (CEAP),+12102078198,San Antonio,1,2127737,Bexar,78,91.7,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
12,57.3,Community Action Corporation of South Texas,Comprehensive Energy Assistance Program (CEAP),+13616640145,Alice,14,1913209,"Hidalgo, Cameron, Webb",112,91.0,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
13,56.93,"Combined Community Action, Inc.",Comprehensive Energy Assistance Program (CEAP),+19795402980,Giddings,10,1571177,"Fort Bend, Hays, Bastrop",118,89.8,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
