county_fips,name,state,slug,population
48001,Anderson County,TX,anderson-county,59512
48003,Andrews County,TX,andrews-county,18923
48005,Angelina County,TX,angelina-county,88094
48007,Aransas County,TX,aransas-county,25595
48009,Archer County,TX,archer-county,9155
48011,Armstrong County,TX,armstrong-county,1809
48013,Atascosa County,TX,atascosa-county,52783
48015,Austin County,TX,austin-county,32546
48017,Bailey County,TX,bailey-county,7031
48019,Bandera County,TX,bandera-county,22830
48021,Bastrop County,TX,bastrop-county,114931
48023,Baylor County,TX,baylor-county,3533
48025,Bee County,TX,bee-county,31226
48027,Bell County,TX,bell-county,399578
48029,Bexar County,TX,bexar-county,2127737
48031,Blanco County,TX,blanco-county,13358
48033,Borden County,TX,borden-county,557
48035,Bosque County,TX,bosque-county,19013
48037,Bowie County,TX,bowie-county,91992
48039,Brazoria County,TX,brazoria-county,413224
48041,Brazos County,TX,brazos-county,249624
48043,Brewster County,TX,brewster-county,9508
48045,Briscoe County,TX,briscoe-county,1494
48047,Brooks County,TX,brooks-county,6740
48049,Brown County,TX,brown-county,38631
48051,Burleson County,TX,burleson-county,20179
48053,Burnet County,TX,burnet-county,55722
48055,Caldwell County,TX,caldwell-county,52430
48057,Calhoun County,TX,calhoun-county,19942
48059,Callahan County,TX,callahan-county,14615
48061,Cameron County,TX,cameron-county,431874
48063,Camp County,TX,camp-county,13164
48065,Carson County,TX,carson-county,5822
48067,Cass County,TX,cass-county,28622
48069,Castro County,TX,castro-county,7380
48071,Chambers County,TX,chambers-county,56179
48073,Cherokee County,TX,cherokee-county,53223
48075,Childress County,TX,childress-county,6679
48077,Clay County,TX,clay-county,10730
48079,Cochran County,TX,cochran-county,2583
48081,Coke County,TX,coke-county,3396
48083,Coleman County,TX,coleman-county,7990
48085,Collin County,TX,collin-county,1254658
48087,Collingsworth County,TX,collingsworth-county,2611
48089,Colorado County,TX,colorado-county,21475
48091,Comal County,TX,comal-county,201628
48093,Comanche County,TX,comanche-county,14359
48095,Concho County,TX,concho-county,3326
48097,Cooke County,TX,cooke-county,44258
48099,Coryell County,TX,coryell-county,86370
48101,Cottle County,TX,cottle-county,1263
48103,Crane County,TX,crane-county,4594
48105,Crockett County,TX,crockett-county,2799
48107,Crosby County,TX,crosby-county,5030
48109,Culberson County,TX,culberson-county,2254
48111,Dallam County,TX,dallam-county,7526
48113,Dallas County,TX,dallas-county,2656028
48115,Dawson County,TX,dawson-county,11758
48117,Deaf Smith County,TX,deaf-smith-county,18495
48119,Delta County,TX,delta-county,5647
48121,Denton County,TX,denton-county,1045120
48123,DeWitt County,TX,dewitt-county,20252
48125,Dickens County,TX,dickens-county,1725
48127,Dimmit County,TX,dimmit-county,8181
48129,Donley County,TX,donley-county,3193
48131,Duval County,TX,duval-county,9585
48133,Eastland County,TX,eastland-county,18290
48135,Ector County,TX,ector-county,170022
48137,Edwards County,TX,edwards-county,1383
48139,Ellis County,TX,ellis-county,232387
48141,El Paso County,TX,el-paso-county,875784
48143,Erath County,TX,erath-county,44496
48145,Falls County,TX,falls-county,17752
48147,Fannin County,TX,fannin-county,38650
