county_fips,name,poverty_rate,median_hh_income
48001,Anderson,17.1,58846
48003,Andrews,14.2,76902
48005,Angelina,16.3,58847
48007,Aransas,18.7,61754
48009,Archer,11.7,71958
48011,Armstrong,5.8,68462
48013,Atascosa,16.1,69413
48015,Austin,14.5,75994
48017,Bailey,13.6,70625
48019,Bandera,16.1,69703
48021,Bastrop,12.4,82730
48023,Baylor,20.8,42313
48025,Bee,17.0,56075
48027,Bell,14.6,66051
48029,Bexar,14.7,70571
48031,Blanco,8.7,87564
48033,Borden,4.8,64250
48035,Bosque,9.1,69339
48037,Bowie,16.3,59295
48039,Brazoria,7.3,95155
48041,Brazos,23.9,58388
48043,Brewster,8.4,52612
48045,Briscoe,15.3,41188
48047,Brooks,30.7,31310
48049,Brown,14.5,55305
48051,Burleson,12.6,72888
48053,Burnet,8.0,77158
48055,Caldwell,13.9,68503
48057,Calhoun,8.7,71870
48059,Callahan,10.1,68455
48061,Cameron,24.4,51334
48063,Camp,22.4,55061
48065,Carson,7.2,84583
48067,Cass,17.3,54328
48069,Castro,14.0,63485
48071,Chambers,13.1,108114
48073,Cherokee,17.9,59830
48075,Childress,9.8,60333
48077,Clay,10.4,77355
48079,Cochran,27.3,42137
48081,Coke,14.1,46431
48083,Coleman,15.0,52364
48085,Collin,6.3,117588
48087,Collingsworth,26.2,60165
48089,Colorado,10.7,68554
48091,Comal,6.4,99015
48093,Comanche,14.1,59946
48095,Concho,13.3,59632
48097,Cooke,14.1,72472
48099,Coryell,9.9,68904
48101,Cottle,22.8,58819
48103,Crane,8.2,59915
48105,Crockett,3.3,81739
48107,Crosby,22.1,52197
48109,Culberson,17.7,42672
48111,Dallam,10.0,72332
48113,Dallas,14.0,74149
48115,Dawson,17.7,55789
48117,Deaf Smith,15.8,54114
48119,Delta,14.0,62855
48121,Denton,7.0,108185
48123,DeWitt,15.9,64014
48125,Dickens,14.5,50417
48127,Dimmit,44.8,33409
48129,Donley,8.3,56648
48131,Duval,29.0,50081
48133,Eastland,14.6,51741
48135,Ector,15.3,71031
48137,Edwards,25.3,38500
48139,Ellis,8.1,95898
48141,El Paso,18.9,58859
48143,Erath,15.9,65351
48145,Falls,14.6,55372
48147,Fannin,14.2,68377
48149,Fayette,8.8,76541
48151,Fisher,10.3,64700
48153,Floyd,18.1,55461
48155,Foard,20.9,42212
48157,Fort Bend,7.2,113409
48159,Franklin,11.1,66800
48161,Freestone,14.3,58460
48163,Frio,19.6,60098
48165,Gaines,7.4,76605
48167,Galveston,11.2,85348
48169,Garza,14.0,50545
48171,Gillespie,9.5,67799
48173,Glasscock,8.5,106806
48175,Goliad,9.2,59556
48177,Gonzales,14.5,59355
48179,Gray,16.3,56082
48181,Grayson,11.1,70455
48183,Gregg,17.0,64809
48185,Grimes,13.3,67080
48187,Guadalupe,8.8,93776
48189,Hale,19.0,52788
48191,Hall,16.4,46728
48193,Hamilton,18.4,55339
48195,Hansford,7.8,68299
48197,Hardeman,12.8,61179
48199,Hardin,12.3,72532
48201,Harris,15.9,73104
48203,Harrison,17.4,66040
48205,Hartley,6.8,82122
48207,Haskell,14.2,54044
48209,Hays,12.0,85827
48211,Hemphill,3.5,72052
48213,Henderson,14.2,63955
48215,Hidalgo,27.2,52281
48217,Hill,14.2,63147
48219,Hockley,12.6,54810
48221,Hood,8.2,86802
48223,Hopkins,12.3,64725
48225,Houston,16.3,54563
48227,Howard,15.1,71457
48229,Hudspeth,19.0,39336
48231,Hunt,12.4,70112
48233,Hutchinson,11.6,65470
48235,Irion,7.5,58125
48237,Jack,13.5,65693
48239,Jackson,14.1,61752
48241,Jasper,22.2,49919
48243,Jeff Davis,31.2,32625
48245,Jefferson,18.8,59934
48247,Jim Hogg,31.4,42230
48249,Jim Wells,23.2,47492
48251,Johnson,10.7,81826
48253,Jones,12.6,63472
48255,Karnes,21.3,59103
48257,Kaufman,9.7,88606
48259,Kendall,5.1,110498
48261,Kenedy,5.9,
48263,Kent,8.4,71420
48265,Kerr,11.7,67927
48267,Kimble,15.0,65703
48269,King,15.3,70192
48271,Kinney,11.3,66341
48273,Kleberg,28.8,57612
48275,Knox,11.4,56304
48277,Lamar,18.7,61122
48279,Lamb,15.9,56997
48281,Lampasas,9.2,76919
48283,La Salle,22.0,55469
48285,Lavaca,9.4,61768
48287,Lee,12.2,66000
48289,Leon,14.4,59975
48291,Liberty,17.7,64773
48293,Limestone,19.4,58109
48295,Lipscomb,13.6,71442
48297,Live Oak,17.2,53869
48299,Llano,11.7,65636
48301,Loving,9.3,51087
48303,Lubbock,17.2,63367
48305,Lynn,17.5,57411
48307,McCulloch,14.6,51919
48309,McLennan,17.1,63888
48311,McMullen,9.1,45833
48313,Madison,13.4,67128
48315,Marion,18.4,47447
48317,Martin,8.1,77083
48319,Mason,6.4,68750
48321,Matagorda,21.8,55174
48323,Maverick,22.6,51270
48325,Medina,11.3,73462
48327,Menard,21.1,48191
48329,Midland,10.6,93984
48331,Milam,15.8,59076
48333,Mills,7.7,64494
48335,Mitchell,13.2,56033
48337,Montague,13.5,62818
48339,Montgomery,9.3,97266
48341,Moore,15.3,61325
48343,Morris,16.9,55082
48345,Motley,9.7,62857
48347,Nacogdoches,22.3,51528
48349,Navarro,16.8,59310
48351,Newton,22.4,41044
48353,Nolan,18.8,50160
48355,Nueces,17.7,66021
48357,Ochiltree,15.5,64988
48359,Oldham,17.7,76402
48361,Orange,12.7,73372
48363,Palo Pinto,17.0,64972
48365,Panola,11.9,62593
48367,Parker,7.8,102099
48369,Parmer,9.6,68164
48371,Pecos,27.4,67689
48373,Polk,18.1,59066
48375,Potter,20.9,50448
48377,Presidio,36.3,29014
48379,Rains,12.8,64874
48381,Randall,9.5,80905
48383,Reagan,11.1,70288
48385,Real,20.5,45417
48387,Red River,20.9,46912
48389,Reeves,21.9,56056
48391,Refugio,17.3,58016
48393,Roberts,6.4,66118
48395,Robertson,16.5,66250
48397,Rockwall,4.3,124917
48399,Runnels,10.4,63490
48401,Rusk,14.3,67506
48403,Sabine,14.3,59924
48405,San Augustine,27.5,46338
48407,San Jacinto,17.7,59526
48409,San Patricio,15.1,67512
48411,San Saba,14.5,54855
48413,Schleicher,9.0,90141
48415,Scurry,9.8,62689
48417,Shackelford,11.6,64659
48419,Shelby,23.5,50436
48421,Sherman,6.3,74167
48423,Smith,12.2,71923
48425,Somervell,6.5,83382
48427,Starr,33.5,38182
48429,Stephens,13.5,54695
48431,Sterling,2.7,78750
48433,Stonewall,8.7,61250
48435,Sutton,11.6,75000
48437,Swisher,29.5,39031
48439,Tarrant,10.9,81905
48441,Taylor,13.5,66406
48443,Terrell,8.2,46989
48445,Terry,21.8,45905
48447,Throckmorton,14.0,58864
48449,Titus,17.3,59220
48451,Tom Green,11.7,66254
48453,Travis,11.0,97169
48455,Trinity,16.1,51663
48457,Tyler,19.6,50647
48459,Upshur,13.3,62794
48461,Upton,17.1,52321
48463,Uvalde,21.9,57849
48465,Val Verde,18.3,59673
48467,Van Zandt,11.5,68274
48469,Victoria,16.0,70101
48471,Walker,17.9,49862
48473,Waller,13.5,76135
48475,Ward,14.6,71719
48477,Washington,12.6,75085
48479,Webb,21.0,62506
48481,Wharton,14.5,66100
48483,Wheeler,14.2,67964
48485,Wichita,15.9,62168
48487,Wilbarger,18.8,51626
48489,Willacy,24.6,45645
48491,Williamson,6.3,108309
48493,Wilson,9.8,92461
48495,Winkler,12.0,91898
48497,Wise,9.1,89897
48499,Wood,12.6,62524
48501,Yoakum,12.0,82261
48503,Young,16.7,63723
48505,Zapata,37.4,36527
48507,Zavala,36.3,41887
