county,population,poverty_rate,people_below_poverty,providers,calls_after_week1,tier,retail_choice,utility_note
Harris,5009302,15.9,796479,2,0,1,yes,
Dallas,2656028,14.0,371843,2,0,1,yes,
Bexar,2127737,14.7,312777,3,0,1,no,CPS Energy (municipal)
Hidalgo,914820,27.2,248831,2,0,1,yes,
Tarrant,2230708,10.9,243147,1,0,1,yes,
El Paso,875784,18.9,165523,1,0,1,no,El Paso Electric (non-ERCOT)
Travis,1363767,11.0,150014,2,0,1,no,Austin Energy (municipal)
Cameron,431874,24.4,105377,1,0,1,no,"Brownsville PUB (municipal, partial)"
Collin,1254658,6.3,79043,2,0,1,yes,
Denton,1045120,7.0,73158,2,0,1,no,Denton Municipal Electric (partial)
Fort Bend,958434,7.2,69007,1,0,1,yes,
Grayson,150532,11.1,16709,1,0,1,yes,
Hunt,118729,12.4,14722,2,0,1,yes,
Bastrop,114931,12.4,14251,1,0,1,yes,
San Patricio,71467,15.1,10791,1,0,1,yes,
Jim Wells,38886,23.2,9021,1,0,1,yes,
Cooke,44258,14.1,6240,1,0,1,yes,
Rockwall,137044,4.3,5892,2,0,1,yes,
Fannin,38650,14.2,5488,1,0,1,yes,
Willacy,20027,24.6,4926,1,0,1,yes,
Austin,32546,14.5,4719,1,0,1,yes,
Duval,9585,29.0,2779,1,0,1,yes,
Colorado,21475,10.7,2297,1,0,1,yes,
Lee,18451,12.2,2251,1,0,1,yes,
Fayette,25488,8.8,2242,1,0,1,yes,
Brooks,6740,30.7,2069,1,0,1,yes,
Webb,272823,21.0,57292,2,1,2,yes,
Galveston,367407,11.2,41149,3,1,2,yes,
Hays,292029,12.0,35043,2,1,2,yes,
Brazoria,413224,7.3,30165,3,1,2,yes,
Starr,66587,33.5,22306,2,1,2,yes,
Kaufman,197829,9.7,19189,2,1,2,yes,
Ellis,232387,8.1,18823,2,1,2,yes,
Guadalupe,195166,8.8,17174,2,1,2,yes,
Bowie,91992,16.3,14994,2,1,2,yes,
Comal,201628,6.4,12904,2,1,2,yes,
Henderson,87467,14.2,12420,2,1,2,yes,
Anderson,59512,17.1,10176,2,1,2,yes,
Lamar,51249,18.7,9583,2,1,2,yes,
Navarro,56533,16.8,9497,2,1,2,yes,
Kleberg,30442,28.8,8767,2,1,2,yes,
Atascosa,52783,16.1,8498,2,1,2,yes,
Van Zandt,65304,11.5,7509,2,1,2,yes,
Caldwell,52430,13.9,7287,2,1,2,yes,
Kerr,53900,11.7,6306,2,1,2,yes,
Medina,55619,11.3,6284,2,1,2,yes,
Wharton,42035,14.5,6095,3,2,2,yes,
Titus,31547,17.3,5457,2,1,2,yes,
Wilson,55415,9.8,5430,2,1,2,yes,
Bee,31226,17.0,5308,2,1,2,yes,
Zapata,13819,37.4,5168,2,1,2,yes,
Cass,28622,17.3,4951,2,1,2,yes,
Hopkins,38784,12.3,4770,2,1,2,yes,
Frio,19520,19.6,3825,2,1,2,yes,
Bandera,22830,16.1,3675,2,1,2,yes,
Karnes,15137,21.3,3224,2,1,2,yes,
Camp,13164,22.4,2948,2,1,2,yes,
Gillespie,28159,9.5,2675,2,1,2,yes,
Kendall,51828,5.1,2643,2,1,2,yes,
Red River,11696,20.9,2444,2,1,2,yes,
Morris,12184,16.9,2059,2,1,2,yes,
Marion,9704,18.4,1785,2,1,2,yes,
Rains,13306,12.8,1703,2,1,2,yes,
Jim Hogg,4583,31.4,1439,2,1,2,yes,
Franklin,10912,11.1,1211,2,1,2,yes,
Blanco,13358,8.7,1162,2,1,2,yes,
Delta,5647,14.0,790,2,1,2,yes,
Kenedy,330,5.9,19,2,1,2,yes,
Montgomery,749613,9.3,69714,1,1,3,yes,
Nueces,353125,17.7,62503,1,1,3,yes,
Brazos,249624,23.9,59660,1,1,3,no,"BTU (municipal, partial)"
Bell,399578,14.6,58338,1,1,3,yes,
Lubbock,327394,17.2,56311,2,2,3,no,"LP&L (municipal, partial)"
Jefferson,253948,18.8,47742,2,2,3,yes,
McLennan,270358,17.1,46231,1,1,3,yes,
Williamson,727480,6.3,45831,2,2,3,yes,
Smith,249091,12.2,30389,1,1,3,yes,
Ector,170022,15.3,26013,1,1,3,yes,
Potter,114649,20.9,23961,1,1,3,yes,
Johnson,210547,10.7,22528,2,2,3,yes,
Gregg,126679,17.0,21535,1,1,3,yes,
Wichita,129984,15.9,20667,1,1,3,yes,
Liberty,115042,17.7,20362,2,2,3,yes,
Taylor,148813,13.5,20089,1,1,3,yes,
Midland,183587,10.6,19460,1,1,3,yes,
Walker,83722,17.9,14986,1,1,3,yes,
Victoria,91949,16.0,14711,1,1,3,yes,
Nacogdoches,65728,22.3,14657,1,1,3,yes,
Angelina,88094,16.3,14359,1,1,3,yes,
Randall,150547,9.5,14301,1,1,3,yes,
Tom Green,120103,11.7,14052,1,1,3,yes,
Parker,179707,7.8,14017,2,2,3,yes,
Maverick,58829,22.6,13295,2,2,3,yes,
Harrison,71370,17.4,12418,2,2,3,yes,
Orange,86115,12.7,10936,2,2,3,yes,
Polk,54258,18.1,9820,1,1,3,yes,
Cherokee,53223,17.9,9526,1,1,3,yes,
Waller,65109,13.5,8789,1,1,3,yes,
Val Verde,47999,18.3,8783,1,1,3,yes,
Coryell,86370,9.9,8550,1,1,3,yes,
Matagorda,36391,21.8,7933,2,2,3,yes,
Rusk,53391,14.3,7634,1,1,3,yes,
Wise,81275,9.1,7396,2,2,3,yes,
Chambers,56179,13.1,7359,2,2,3,yes,
Jasper,32907,22.2,7305,2,2,3,yes,
Hardin,58670,12.3,7216,2,2,3,yes,
Erath,44496,15.9,7074,2,2,3,yes,
Wood,48742,12.6,6141,1,1,3,yes,
Hale,31953,19.0,6071,1,1,3,yes,
Upshur,44050,13.3,5858,2,2,3,yes,
Shelby,24192,23.5,5685,2,2,3,yes,
Hood,69126,8.2,5668,2,2,3,yes,
Brown,38631,14.5,5601,2,2,3,yes,
Uvalde,25138,21.9,5505,1,1,3,yes,
Hill,38771,14.2,5505,1,1,3,yes,
San Jacinto,29326,17.7,5190,1,1,3,yes,
Palo Pinto,30231,17.0,5139,2,2,3,yes,
Aransas,25595,18.7,4786,1,1,3,yes,
Washington,37810,12.6,4764,1,1,3,yes,
Howard,30833,15.1,4655,1,1,3,yes,
Burnet,55722,8.0,4457,2,2,3,yes,
Grimes,33448,13.3,4448,1,1,3,yes,
Limestone,22569,19.4,4378,1,1,3,yes,
Milam,26159,15.8,4133,1,1,3,yes,
Pecos,14712,27.4,4031,2,2,3,yes,
Tyler,20560,19.6,4029,2,2,3,yes,
Dimmit,8181,44.8,3665,1,1,3,yes,
Houston,22197,16.3,3618,1,1,3,yes,
Gray,20888,16.3,3404,1,1,3,yes,
Moore,21872,15.3,3346,1,1,3,yes,
Zavala,9209,36.3,3342,1,1,3,yes,
DeWitt,20252,15.9,3220,1,1,3,yes,
Young,18236,16.7,3045,1,1,3,yes,
Montague,21890,13.5,2955,1,1,3,yes,
Freestone,20645,14.3,2952,1,1,3,yes,
Deaf Smith,18495,15.8,2922,1,1,3,yes,
Robertson,17659,16.5,2913,1,1,3,yes,
Gonzales,20040,14.5,2905,1,1,3,yes,
Panola,23022,11.9,2739,2,2,3,yes,
Llano,23163,11.7,2710,1,1,3,yes,
Hockley,21505,12.6,2709,1,1,3,yes,
Andrews,18923,14.2,2687,1,1,3,yes,
Eastland,18290,14.6,2670,2,2,3,yes,
Newton,11908,22.4,2667,2,2,3,yes,
Nolan,14182,18.8,2666,1,1,3,yes,
Jones,20850,12.6,2627,2,2,3,yes,
Reeves,11956,21.9,2618,1,1,3,yes,
Falls,17752,14.6,2591,1,1,3,yes,
Burleson,20179,12.6,2542,1,1,3,yes,
Terry,11602,21.8,2529,1,1,3,yes,
Leon,16698,14.4,2404,1,1,3,yes,
Wilbarger,12455,18.8,2341,1,1,3,yes,
Trinity,14489,16.1,2332,1,1,3,yes,
Hutchinson,19721,11.6,2287,1,1,3,yes,
Lampasas,23539,9.2,2165,1,1,3,yes,
Jackson,15284,14.1,2155,1,1,3,yes,
San Augustine,7767,27.5,2135,2,2,3,yes,
Dawson,11758,17.7,2081,1,1,3,yes,
Presidio,5686,36.3,2064,1,1,3,yes,
Live Oak,11967,17.2,2058,2,2,3,yes,
Swisher,6877,29.5,2028,1,1,3,yes,
Comanche,14359,14.1,2024,2,2,3,yes,
Lamb,12687,15.9,2017,1,1,3,yes,
Lavaca,20605,9.4,1936,1,1,3,yes,
Madison,13877,13.4,1859,1,1,3,yes,
Calhoun,19942,8.7,1734,1,1,3,yes,
Bosque,19013,9.1,1730,1,1,3,yes,
Gaines,22892,7.4,1694,1,1,3,yes,
Ward,11038,14.6,1611,1,1,3,yes,
Hamilton,8644,18.4,1590,1,1,3,yes,
Scurry,16211,9.8,1588,1,1,3,yes,
Ochiltree,9717,15.5,1506,1,1,3,yes,
Callahan,14615,10.1,1476,2,2,3,yes,
La Salle,6679,22.0,1469,1,1,3,yes,
Sabine,10058,14.3,1438,2,2,3,yes,
Stephens,9475,13.5,1279,1,1,3,yes,
Jack,9398,13.5,1268,1,1,3,yes,
Coleman,7990,15.0,1198,2,2,3,yes,
Mitchell,8968,13.2,1183,1,1,3,yes,
Refugio,6739,17.3,1165,1,1,3,yes,
Clay,10730,10.4,1115,1,1,3,yes,
Crosby,5030,22.1,1111,1,1,3,yes,
McCulloch,7448,14.6,1087,2,2,3,yes,
Archer,9155,11.7,1071,1,1,3,yes,
Lynn,5952,17.5,1041,1,1,3,yes,
Castro,7380,14.0,1033,1,1,3,yes,
Runnels,9751,10.4,1014,2,2,3,yes,
Bailey,7031,13.6,956,1,1,3,yes,
Parmer,9669,9.6,928,1,1,3,yes,
Floyd,5042,18.1,912,1,1,3,yes,
Yoakum,7581,12.0,909,1,1,3,yes,
Winkler,7381,12.0,885,1,1,3,yes,
Brewster,9508,8.4,798,1,1,3,yes,
San Saba,5508,14.5,798,1,1,3,yes,
Haskell,5435,14.2,771,2,2,3,yes,
Dallam,7526,10.0,752,1,1,3,yes,
Baylor,3533,20.8,734,1,1,3,yes,
Cochran,2583,27.3,705,1,1,3,yes,
Hudspeth,3608,19.0,685,1,1,3,yes,
Wheeler,4824,14.2,685,1,1,3,yes,
Collingsworth,2611,26.2,684,1,1,3,yes,
Goliad,7221,9.2,664,1,1,3,yes,
Kimble,4401,15.0,660,1,1,3,yes,
Somervell,10098,6.5,656,2,2,3,yes,
Childress,6679,9.8,654,1,1,3,yes,
Garza,4645,14.0,650,1,1,3,yes,
Real,2772,20.5,568,1,1,3,yes,
Jeff Davis,1778,31.2,554,1,1,3,yes,
Upton,3128,17.1,534,1,1,3,yes,
Coke,3396,14.1,478,1,1,3,yes,
Hall,2828,16.4,463,1,1,3,yes,
Concho,3326,13.3,442,1,1,3,yes,
Hardeman,3417,12.8,437,1,1,3,yes,
Carson,5822,7.2,419,1,1,3,yes,
Martin,5179,8.1,419,1,1,3,yes,
Menard,1911,21.1,403,1,1,3,yes,
Culberson,2254,17.7,398,1,1,3,yes,
Lipscomb,2880,13.6,391,1,1,3,yes,
Hansford,5006,7.8,390,1,1,3,yes,
Sutton,3269,11.6,379,1,1,3,yes,
Fisher,3665,10.3,377,1,1,3,yes,
Crane,4594,8.2,376,2,2,3,yes,
Knox,3255,11.4,371,2,2,3,yes,
Shackelford,3169,11.6,367,1,1,3,yes,
Kinney,3191,11.3,360,1,1,3,yes,
Mills,4563,7.7,351,1,1,3,yes,
Edwards,1383,25.3,349,1,1,3,yes,
Reagan,3139,11.1,348,1,1,3,yes,
Hartley,4996,6.8,339,1,1,3,yes,
Oldham,1823,17.7,322,1,1,3,yes,
Cottle,1263,22.8,287,1,1,3,yes,
Donley,3193,8.3,265,1,1,3,yes,
Mason,3987,6.4,255,1,1,3,yes,
Dickens,1725,14.5,250,1,1,3,yes,
Briscoe,1494,15.3,228,1,1,3,yes,
Foard,1053,20.9,220,1,1,3,yes,
Throckmorton,1532,14.0,214,2,2,3,yes,
Schleicher,2302,9.0,207,1,1,3,yes,
Sherman,2771,6.3,174,1,1,3,yes,
Irion,1526,7.5,114,1,1,3,yes,
Hemphill,3134,3.5,109,1,1,3,yes,
Stonewall,1235,8.7,107,2,2,3,yes,
Armstrong,1809,5.8,104,1,1,3,yes,
Motley,1015,9.7,98,1,1,3,yes,
Glasscock,1153,8.5,98,1,1,3,yes,
Crockett,2799,3.3,92,1,1,3,yes,
Kent,703,8.4,59,2,2,3,yes,
Terrell,718,8.2,58,2,2,3,yes,
Roberts,837,6.4,53,1,1,3,yes,
McMullen,565,9.1,51,2,2,3,yes,
Sterling,1387,2.7,37,1,1,3,yes,
King,215,15.3,32,1,1,3,yes,
Borden,557,4.8,26,1,1,3,yes,
Loving,48,9.3,4,1,1,3,yes,
