criteria_id,kind,state,county_fips,zip,label
1014966,county,FL,12009,,"Brevard County, FL"
1014969,county,FL,12011,,"Broward County, FL"
1014982,county,FL,12017,,"Citrus County, FL"
1015066,county,FL,12063,,"Jackson County, FL"
1015096,county,FL,12073,,"Leon County, FL"
1021025,county,NC,37021,,"Buncombe County, NC"
1021078,county,NC,37055,,"Dare County, NC"
1021112,county,NC,37067,,"Forsyth County, NC"
1021253,county,NC,37133,,"Onslow County, NC"
1021258,county,NC,37139,,"Pasquotank County, NC"
1026679,county,TX,48367,,"Parker County, TX"
1026709,county,TX,48375,,"Potter County, TX"
1026846,county,TX,48451,,"Tom Green County, TX"
21142,state,FL,,,Florida
21160,state,NC,,,North Carolina
21176,state,TX,,,Texas
9009530,zip,NC,,27006,ZIP 27006
9009531,zip,NC,,27007,ZIP 27007
9009532,zip,NC,,27009,ZIP 27009
9009533,zip,NC,,27011,ZIP 27011
9009534,zip,NC,,27012,ZIP 27012
9009535,zip,NC,,27013,ZIP 27013
9009537,zip,NC,,27016,ZIP 27016
9009538,zip,NC,,27017,ZIP 27017
9009539,zip,NC,,27018,ZIP 27018
9009540,zip,NC,,27019,ZIP 27019
9009541,zip,NC,,27020,ZIP 27020
9009542,zip,NC,,27021,ZIP 27021
9009543,zip,NC,,27022,ZIP 27022
9009544,zip,NC,,27023,ZIP 27023
9009545,zip,NC,,27024,ZIP 27024
9009546,zip,NC,,27025,ZIP 27025
9009547,zip,NC,,27027,ZIP 27027
9009548,zip,NC,,27028,ZIP 27028
9009549,zip,NC,,27030,ZIP 27030
9009550,zip,NC,,27040,ZIP 27040
9009551,zip,NC,,27041,ZIP 27041
9009552,zip,NC,,27042,ZIP 27042
9009553,zip,NC,,27043,ZIP 27043
9009554,zip,NC,,27045,ZIP 27045
9009555,zip,NC,,27046,ZIP 27046
9009556,zip,NC,,27047,ZIP 27047
9009557,zip,NC,,27048,ZIP 27048
9009558,zip,NC,,27050,ZIP 27050
9009559,zip,NC,,27051,ZIP 27051
9009560,zip,NC,,27052,ZIP 27052
9009561,zip,NC,,27053,ZIP 27053
9009562,zip,NC,,27054,ZIP 27054
9009563,zip,NC,,27055,ZIP 27055
9009564,zip,NC,,27101,ZIP 27101
9009565,zip,NC,,27103,ZIP 27103
9009566,zip,NC,,27104,ZIP 27104
9009567,zip,NC,,27105,ZIP 27105
9009568,zip,NC,,27106,ZIP 27106
9009569,zip,NC,,27107,ZIP 27107
9009570,zip,NC,,27109,ZIP 27109
9009571,zip,NC,,27110,ZIP 27110
9009572,zip,NC,,27127,ZIP 27127
9009574,zip,NC,,27203,ZIP 27203
9009575,zip,NC,,27205,ZIP 27205
9009576,zip,NC,,27207,ZIP 27207
9009577,zip,NC,,27208,ZIP 27208
9009578,zip,NC,,27209,ZIP 27209
9009579,zip,NC,,27212,ZIP 27212
9009581,zip,NC,,27214,ZIP 27214
9009582,zip,NC,,27215,ZIP 27215
9009583,zip,NC,,27217,ZIP 27217
9009584,zip,NC,,27229,ZIP 27229
9009585,zip,NC,,27231,ZIP 27231
9009586,zip,NC,,27233,ZIP 27233
9009587,zip,NC,,27235,ZIP 27235
9009588,zip,NC,,27239,ZIP 27239
9009589,zip,NC,,27242,ZIP 27242
9009590,zip,NC,,27243,ZIP 27243
9009591,zip,NC,,27244,ZIP 27244
9009592,zip,NC,,27248,ZIP 27248
9009593,zip,NC,,27249,ZIP 27249
9009594,zip,NC,,27252,ZIP 27252
9009595,zip,NC,,27253,ZIP 27253
9009596,zip,NC,,27256,ZIP 27256
9009597,zip,NC,,27258,ZIP 27258
9009598,zip,NC,,27260,ZIP 27260
9009599,zip,NC,,27262,ZIP 27262
9009600,zip,NC,,27263,ZIP 27263
9009601,zip,NC,,27265,ZIP 27265
9009602,zip,NC,,27278,ZIP 27278
9009603,zip,NC,,27281,ZIP 27281
9009604,zip,NC,,27282,ZIP 27282
9009605,zip,NC,,27283,ZIP 27283
9009606,zip,NC,,27284,ZIP 27284
9009607,zip,NC,,27288,ZIP 27288
9009608,zip,NC,,27291,ZIP 27291
9009609,zip,NC,,27292,ZIP 27292
9009610,zip,NC,,27295,ZIP 27295
9009611,zip,NC,,27298,ZIP 27298
9009612,zip,NC,,27299,ZIP 27299
9009613,zip,NC,,27301,ZIP 27301
9009614,zip,NC,,27302,ZIP 27302
9009615,zip,NC,,27305,ZIP 27305
9009616,zip,NC,,27306,ZIP 27306
9009617,zip,NC,,27310,ZIP 27310
9009618,zip,NC,,27311,ZIP 27311
9009619,zip,NC,,27312,ZIP 27312
9009620,zip,NC,,27313,ZIP 27313
9009621,zip,NC,,27314,ZIP 27314
9009622,zip,NC,,27315,ZIP 27315
9009623,zip,NC,,27316,ZIP 27316
9009624,zip,NC,,27317,ZIP 27317
9009625,zip,NC,,27320,ZIP 27320
9009626,zip,NC,,27325,ZIP 27325
9009627,zip,NC,,27326,ZIP 27326
9009628,zip,NC,,27330,ZIP 27330
9009630,zip,NC,,27332,ZIP 27332
9009632,zip,NC,,27341,ZIP 27341
9009633,zip,NC,,27343,ZIP 27343
9009634,zip,NC,,27344,ZIP 27344
9009635,zip,NC,,27349,ZIP 27349
9009636,zip,NC,,27350,ZIP 27350
9009637,zip,NC,,27355,ZIP 27355
9009638,zip,NC,,27356,ZIP 27356
9009639,zip,NC,,27357,ZIP 27357
9009640,zip,NC,,27358,ZIP 27358
9009641,zip,NC,,27360,ZIP 27360
9009642,zip,NC,,27370,ZIP 27370
9009643,zip,NC,,27371,ZIP 27371
9009644,zip,NC,,27376,ZIP 27376
9009645,zip,NC,,27377,ZIP 27377
9009646,zip,NC,,27379,ZIP 27379
9009647,zip,NC,,27401,ZIP 27401
9009648,zip,NC,,27403,ZIP 27403
9009649,zip,NC,,27405,ZIP 27405
9009650,zip,NC,,27406,ZIP 27406
9009651,zip,NC,,27407,ZIP 27407
9009652,zip,NC,,27408,ZIP 27408
9009653,zip,NC,,27409,ZIP 27409
9009654,zip,NC,,27410,ZIP 27410
9009655,zip,NC,,27412,ZIP 27412
9009656,zip,NC,,27455,ZIP 27455
9009657,zip,NC,,27501,ZIP 27501
9009658,zip,NC,,27502,ZIP 27502
9009659,zip,NC,,27503,ZIP 27503
9009660,zip,NC,,27504,ZIP 27504
9009661,zip,NC,,27505,ZIP 27505
9009663,zip,NC,,27507,ZIP 27507
9009664,zip,NC,,27508,ZIP 27508
9009665,zip,NC,,27509,ZIP 27509
9009666,zip,NC,,27510,ZIP 27510
9009667,zip,NC,,27511,ZIP 27511
9009669,zip,NC,,27513,ZIP 27513
9009670,zip,NC,,27514,ZIP 27514
9009671,zip,NC,,27516,ZIP 27516
9009672,zip,NC,,27517,ZIP 27517
9009673,zip,NC,,27518,ZIP 27518
9009674,zip,NC,,27519,ZIP 27519
