zip,county_fips,area_ratio,res_ratio
73949,48421,0.1367,
73960,48421,1.0,
75001,48113,1.0,
75002,48085,1.0,
75006,48113,1.0,
75007,48085,0.0107,
75007,48113,0.0855,
75007,48121,0.9038,
75009,48085,0.9308,
75009,48121,0.0692,
75010,48121,1.0,
75013,48085,1.0,
75019,48113,0.9804,
75019,48121,0.0196,
75020,48181,1.0,
75021,48181,1.0,
75022,48121,0.9512,
75022,48439,0.0488,
75023,48085,1.0,
75024,48085,0.875,
75024,48121,0.125,
75025,48085,1.0,
75028,48121,0.9769,
75028,48439,0.0231,
75032,48397,1.0,
75033,48085,0.452,
75033,48121,0.548,
75034,48085,0.5645,
75034,48121,0.4355,
75035,48085,1.0,
75036,48121,1.0,
75038,48113,1.0,
75039,48113,1.0,
75040,48113,1.0,
75041,48113,1.0,
75042,48113,1.0,
75043,48113,1.0,
75044,48085,0.0041,
75044,48113,0.9959,
75048,48085,0.1936,
75048,48113,0.8064,
75050,48113,0.7887,
75050,48439,0.2113,
75051,48113,0.8696,
75051,48439,0.1304,
75052,48113,0.5933,
75052,48439,0.4067,
75054,48113,0.3485,
75054,48439,0.6515,
75056,48121,1.0,
75057,48121,1.0,
75058,48181,1.0,
75060,48113,1.0,
75061,48113,1.0,
75062,48113,1.0,
75063,48113,1.0,
75065,48121,1.0,
75067,48113,0.0384,
75067,48121,0.9616,
75068,48121,1.0,
75069,48085,1.0,
75070,48085,1.0,
75071,48085,1.0,
75072,48085,1.0,
75074,48085,1.0,
75075,48085,1.0,
75076,48181,1.0,
75077,48121,1.0,
75078,48085,0.7011,
75078,48121,0.2989,
75080,48085,0.2913,
75080,48113,0.7087,
75081,48113,1.0,
75082,48085,0.8457,
75082,48113,0.1543,
75087,48085,0.0627,
75087,48397,0.9373,
75088,48113,0.8729,
75088,48397,0.1271,
75089,48113,0.9632,
75089,48397,0.0368,
75090,48181,1.0,
75092,48181,1.0,
75093,48085,0.902,
75093,48121,0.098,
75094,48085,1.0,
75098,48085,0.866,
75098,48113,0.1041,
75098,48397,0.03,
75101,48139,1.0,
75102,48349,1.0,
75103,48467,1.0,
75104,48113,0.9377,
75104,48139,0.0623,
75105,48349,1.0,
75109,48349,1.0,
75110,48349,1.0,
75114,48257,1.0,
75115,48113,1.0,
75116,48113,1.0,
75117,48467,1.0,
75119,48139,0.9437,
75119,48349,0.0563,
75124,48213,0.7292,
75124,48467,0.2708,
75125,48113,0.2853,
75125,48139,0.7147,
75126,48257,0.9735,
75126,48397,0.0265,
75127,48467,1.0,
75132,48397,1.0,
75134,48113,1.0,
75135,48231,1.0,
75137,48113,1.0,
75140,48423,0.0185,
75140,48467,0.9815,
75141,48113,1.0,
75142,48257,1.0,
75143,48213,0.4601,
75143,48257,0.5399,
75144,48349,1.0,
75146,48113,0.9942,
75146,48139,0.0058,
75147,48213,0.0426,
75147,48257,0.3997,
75147,48467,0.5577,
75148,48213,1.0,
75149,48113,1.0,
75150,48113,1.0,
75152,48139,1.0,
75153,48349,1.0,
75154,48113,0.1246,
75154,48139,0.8754,
75155,48349,1.0,
75156,48213,0.9995,
75156,48257,0.0005,
75157,48257,1.0,
75158,48257,1.0,
75159,48113,0.6291,
75159,48257,0.3709,
75160,48231,0.1713,
75160,48257,0.8279,
75160,48397,0.0008,
75161,48257,1.0,
75163,48213,1.0,
75164,48085,1.0,
75165,48139,1.0,
75166,48085,1.0,
75167,48139,1.0,
75169,48231,0.0225,
75169,48257,0.0912,
75169,48467,0.8864,
75172,48113,1.0,
75173,48085,1.0,
75180,48113,1.0,
75181,48113,1.0,
75182,48113,1.0,
75189,48085,0.193,
75189,48231,0.3836,
75189,48397,0.4235,
75201,48113,1.0,
75202,48113,1.0,
75203,48113,1.0,
75204,48113,1.0,
75205,48113,1.0,
75206,48113,1.0,
75207,48113,1.0,
75208,48113,1.0,
75209,48113,1.0,
75210,48113,1.0,
75211,48113,1.0,
75212,48113,1.0,
75214,48113,1.0,
75215,48113,1.0,
75216,48113,1.0,
75217,48113,1.0,
75218,48113,1.0,
75219,48113,1.0,
75220,48113,1.0,
75223,48113,1.0,
75224,48113,1.0,
75225,48113,1.0,
75226,48113,1.0,
75227,48113,1.0,
75228,48113,1.0,
75229,48113,1.0,
75230,48113,1.0,
75231,48113,1.0,
75232,48113,1.0,
75233,48113,1.0,
75234,48113,1.0,
75235,48113,1.0,
75236,48113,1.0,
75237,48113,1.0,
75238,48113,1.0,
75240,48113,1.0,
75241,48113,1.0,
75243,48113,1.0,
75244,48113,1.0,
75246,48113,1.0,
75247,48113,1.0,
75248,48085,0.0062,
75248,48113,0.9938,
75249,48113,1.0,
75251,48113,1.0,
75252,48085,0.9215,
75252,48113,0.0785,
75253,48113,1.0,
75254,48113,1.0,
75261,48439,1.0,
75270,48113,1.0,
75287,48085,0.5822,
75287,48113,0.0028,
75287,48121,0.415,
75390,48113,1.0,
75401,48231,1.0,
75402,48231,1.0,
75407,48085,1.0,
75409,48085,1.0,
75410,48379,0.4894,
75410,48499,0.5106,
