zip,primary_state,population
27006,NC,14963
27007,NC,2051
27009,NC,2860
27010,NC,
27011,NC,5210
27012,NC,29954
27013,NC,6257
27014,NC,798
27016,NC,1693
27017,NC,8976
27018,NC,7550
27019,NC,3768
27020,NC,6168
27021,NC,17345
27022,NC,1399
27023,NC,13214
27024,NC,2589
27025,NC,10769
27027,NC,4006
27028,NC,26479
27030,NC,36995
27040,NC,12409
27041,NC,7501
27042,NC,664
27043,NC,6322
27045,NC,9548
27046,NC,1977
27047,NC,1169
27048,NC,7910
27049,NC,
27050,NC,3929
27051,NC,8195
27052,NC,9861
27053,NC,2883
27054,NC,2602
27055,NC,14109
27094,NC,
27099,NC,
27101,NC,21654
27102,NC,
27103,NC,36023
27104,NC,30533
27105,NC,39977
27106,NC,49115
27107,NC,49834
27108,NC,
27109,NC,3120
27110,NC,2138
27111,NC,
27113,NC,
27114,NC,
27115,NC,
27116,NC,
27117,NC,
27120,NC,
27127,NC,39809
27130,NC,
27150,NC,
27152,NC,
27155,NC,
27157,NC,
27199,NC,
27201,NC,93
27202,NC,41
27203,NC,21869
27205,NC,33562
27207,NC,3724
27208,NC,1790
27209,NC,4016
27212,NC,2667
27213,NC,83
27214,NC,12417
27215,NC,44620
27216,NC,
27217,NC,39556
27229,NC,3228
27230,NC,
27231,NC,1939
27233,NC,3477
27235,NC,4876
27239,NC,8839
27242,NC,1807
27243,NC,4622
27244,NC,16671
27247,NC,111
27248,NC,4535
27249,NC,13537
27252,NC,1584
27253,NC,32010
27256,NC,101
27258,NC,7088
27259,NC,124
27260,NC,24573
27261,NC,
27262,NC,25253
27263,NC,21613
27264,NC,
27265,NC,52530
27268,NC,1613
27278,NC,28846
27281,NC,3299
27282,NC,15966
27283,NC,3056
27284,NC,56859
27285,NC,
27288,NC,23375
27289,NC,
27291,NC,1559
27292,NC,39337
27293,NC,
27294,NC,
27295,NC,39042
27298,NC,10583
27299,NC,5057
27301,NC,10752
27302,NC,33237
27305,NC,1425
27306,NC,6399
27310,NC,8331
27311,NC,3321
27312,NC,21572
27313,NC,6792
27314,NC,1026
27315,NC,1892
27316,NC,6664
27317,NC,17563
27320,NC,37843
27325,NC,5775
27326,NC,3679
27330,NC,39489
27331,NC,
27332,NC,36020
27340,NC,149
27341,NC,5235
27342,NC,39
27343,NC,1656
27344,NC,17834
27349,NC,6308
27350,NC,6550
27351,NC,71
27355,NC,2688
27356,NC,2989
27357,NC,9190
27358,NC,15173
27359,NC,
27360,NC,47165
27370,NC,15119
27371,NC,7284
27373,NC,
27374,NC,376
27375,NC,
27376,NC,9317
27377,NC,11341
27379,NC,4463
27401,NC,21854
27402,NC,
27403,NC,23679
27404,NC,
27405,NC,51506
27406,NC,61597
27407,NC,49803
27408,NC,17896
27409,NC,17378
