org_name,slug,primary_need,rent_slug,unlit_records
"AIDS Foundation Houston, Inc.",aids-foundation-houston-inc,utility,,
"Agricultural and Labor Program, Inc.",agricultural-and-labor-program-liheap,utility,,
Alamance County Department of Social Services,alamance-county-department-of-social-services-energy,utility,alamance-county-department-of-social-services-emergency,alamance-county-department-of-social-services-fns
Alamo Area Council of Governments,alamo-area-council-of-governments-ceap,utility,alamo-area-council-of-governments-csbg,alamo-area-council-of-governments-wap
Alexander County Department of Social Services,alexander-county-department-of-social-services-energy,utility,alexander-county-department-of-social-services-emergency,alexander-county-department-of-social-services-fns
Alleghany County Department of Social Services,alleghany-county-department-of-social-services-energy,utility,alleghany-county-department-of-social-services-emergency,alleghany-county-department-of-social-services-fns
Anson County Department of Social Services,anson-county-department-of-social-services-energy,utility,anson-county-department-of-social-services-emergency,anson-county-department-of-social-services-fns
Ashe County Department of Social Services,ashe-county-department-of-social-services-energy,utility,ashe-county-department-of-social-services-emergency,ashe-county-department-of-social-services-fns
"Aspermont Small Business Development Center, Inc.",aspermont-small-business-development-center-inc-ceap,utility,aspermont-small-business-development-center-inc-csbg,aspermont-small-business-development-center-inc-wap
Avance Inc.,avance-inc,other,,
Avery County Department of Social Services,avery-county-department-of-social-services-energy,utility,avery-county-department-of-social-services-emergency,avery-county-department-of-social-services-fns
BakerRipley,bakerripley-ceap,utility,bakerripley-csbg,
"Bay County Council on Aging, Inc.",bay-county-council-on-aging-liheap,utility,,
Beaufort County Department of Social Services,beaufort-county-department-of-social-services-energy,utility,beaufort-county-department-of-social-services-emergency,beaufort-county-department-of-social-services-fns
Bering Omega Community Services,bering-omega-community-services,rent,,
Bertie County Department of Social Services,bertie-county-department-of-social-services-energy,utility,bertie-county-department-of-social-services-emergency,bertie-county-department-of-social-services-fns
Bexar County Department of Community Resources,bexar-county-department-of-community-resources-ceap,utility,bexar-county-department-of-community-resources-csbg,bexar-county-department-of-community-resources-wap
Bladen County Department of Social Services,bladen-county-department-of-social-services-energy,utility,bladen-county-department-of-social-services-emergency,bladen-county-department-of-social-services-fns
Brazos Valley Community Action Programs,brazos-valley-community-action-programs-ceap,utility,brazos-valley-community-action-programs-csbg,brazos-valley-community-action-programs-wap
Brentwood Community Foundation,brentwood-community-foundation,utility,,
Brevard County Department of Housing and Human Services,brevard-county-department-of-housing-and-human-services-liheap,utility,,
"Broward County Department of Human Services, Community Action Agency",broward-county-department-of-human-services-community-action-agency-liheap,utility,,
Brunswick County Department of Social Services,brunswick-county-department-of-social-services-energy,utility,brunswick-county-department-of-social-services-emergency,brunswick-county-department-of-social-services-fns
Buncombe County Department of Social Services,buncombe-county-department-of-social-services-energy,utility,buncombe-county-department-of-social-services-emergency,buncombe-county-department-of-social-services-fns
Burke County Department of Social Services,burke-county-department-of-social-services-energy,utility,burke-county-department-of-social-services-emergency,burke-county-department-of-social-services-fns
Cabarrus County Department of Social Services,cabarrus-county-department-of-social-services-energy,utility,cabarrus-county-department-of-social-services-emergency,cabarrus-county-department-of-social-services-fns
Caldwell County Department of Social Services,caldwell-county-department-of-social-services-energy,utility,caldwell-county-department-of-social-services-emergency,caldwell-county-department-of-social-services-fns
Camden County Department of Social Services,camden-county-department-of-social-services-energy,utility,camden-county-department-of-social-services-emergency,camden-county-department-of-social-services-fns
"Capital Area Community Action Agency, Inc.",capital-area-community-action-agency-liheap,utility,,
Carteret County Department of Social Services,carteret-county-department-of-social-services-energy,utility,carteret-county-department-of-social-services-emergency,carteret-county-department-of-social-services-fns
Caswell County Department of Social Services,caswell-county-department-of-social-services-energy,utility,caswell-county-department-of-social-services-emergency,caswell-county-department-of-social-services-fns
Catawba County Department of Social Services,catawba-county-department-of-social-services-energy,utility,catawba-county-department-of-social-services-emergency,catawba-county-department-of-social-services-fns
Cathedral Health and Outreach Ministries,cathedral-health-and-outreach-ministries,other,,
Catholic Charities — Beacon of Hope Center,catholic-charities-beacon-of-hope-center,rent,,
Catholic Charities — Guadalupe Basic Needs Center,catholic-charities-guadalupe-basic-needs-center,rent,,
Catholic Charities — Main Office,catholic-charities-main-office,rent,,
Catholic Charities — Mamie George Community Center,catholic-charities-mamie-george-community-center,rent,,
Catholic Charities — San Jose Clinic,catholic-charities-san-jose-clinic,other,,
Catholic Charities — San Jose Clinic Rosenberg,catholic-charities-san-jose-clinic-rosenberg,other,,
Catholic Charities — St. Frances Cabrini Center,catholic-charities-st-frances-cabrini-center,other,,
"Central Florida Community Action Agency, Inc.",central-florida-community-action-agency-liheap,utility,,
Charlotte County Department of Human Services,charlotte-county-department-of-human-services-liheap,utility,,
Chatham County Department of Social Services,chatham-county-department-of-social-services-energy,utility,chatham-county-department-of-social-services-emergency,chatham-county-department-of-social-services-fns
Cherokee County Department of Social Services,cherokee-county-department-of-social-services-energy,utility,cherokee-county-department-of-social-services-emergency,cherokee-county-department-of-social-services-fns
Chowan County Department of Social Services,chowan-county-department-of-social-services-energy,utility,chowan-county-department-of-social-services-emergency,chowan-county-department-of-social-services-fns
"Christian Community Service Center, Inc.",christian-community-service-center-inc,utility,,
Citrus County Division of Housing Services,citrus-county-division-of-housing-services-liheap,utility,,
City of Austin Health and Human Services Department,city-of-austin-health-and-human-services-department-ceap,utility,city-of-austin-health-and-human-services-department-csbg,city-of-austin-health-and-human-services-department-wap
Clay County Department of Social Services,clay-county-department-of-social-services-energy,utility,clay-county-department-of-social-services-emergency,clay-county-department-of-social-services-fns
Clear Lake Food Pantry,clear-lake-food-pantry,other,,
Cleveland County Department of Social Services,cleveland-county-department-of-social-services-energy,utility,cleveland-county-department-of-social-services-emergency,cleveland-county-department-of-social-services-fns
Collaborative for Children,collaborative-for-children,other,,
Columbus County Department of Social Services,columbus-county-department-of-social-services-energy,utility,columbus-county-department-of-social-services-emergency,columbus-county-department-of-social-services-fns
"Combined Community Action, Inc.",combined-community-action-inc-ceap,utility,combined-community-action-inc-csbg,combined-community-action-inc-wap
Community Action Corporation of South Texas,community-action-corporation-of-south-texas-ceap,utility,community-action-corporation-of-south-texas-csbg,community-action-corporation-of-south-texas-wap
Community Action Inc. of Central Texas,community-action-inc-of-central-texas-ceap,utility,community-action-inc-of-central-texas-csbg,community-action-inc-of-central-texas-wap
"Community Action Program Committee, Inc.",community-action-program-committee-liheap,utility,,
Community Action Social Services & Education,community-action-social-services-education-ceap,utility,,community-action-social-services-education-wap
Community Council of Greater Dallas,community-council-of-greater-dallas-ceap,utility,community-council-of-greater-dallas-csbg,community-council-of-greater-dallas-wap
"Community Council of South Central Texas, Inc.",community-council-of-south-central-texas-inc-ceap,utility,community-council-of-south-central-texas-inc-csbg,community-council-of-south-central-texas-inc-wap
