state|county|org_name|address|phone|phones_all|url|source|source_url|retrieved
FL|Alachua|Central Florida Community Action Agency, Inc.||+13523737667|352-373-7667|http://www.cfcaa.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Baker|Northeast Florida Community Action Agency, Inc.||+19042594481|904-259-4481|https://nfcaa.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Bay|Bay County Council on Aging, Inc.||+18502150173|850-215-0173; 850-769-3468|https://www.baycouncilonaging.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Bradford|Suwannee River Economic Council, Inc.||+19049646696|904-964-6696; 386-362-4115|http://srecinc.org/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Brevard|Brevard County Department of Housing and Human Services||+13216331951|321-633-1951|https://www.brevardfl.gov/HousingAndHumanServices|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Broward|Broward County Department of Human Services, Community Action Agency||+19543575025|954-357-5025|https://www.broward.org/Pages/Welcome.aspx|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Calhoun|Capital Area Community Action Agency, Inc.||+18507590824|850-759-0824; 850-879-3933|https://capitalareacommunityactionagency.com/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Charlotte|Charlotte County Department of Human Services||+19418336500|941-833-6500|https://www.charlottecountyfl.gov/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Citrus|Citrus County Division of Housing Services||+13525277520|352-527-7520|https://citrusbocc.com/departments/community_services/housing_services/index.php|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
FL|Clay|Northeast Florida Community Action Agency, Inc.||+19045924838|904-592-4838|https://nfcaa.net/|FloridaCommerce LIHEAP provider list|https://floridajobs.org/community-development/Low-Income-Home-Energy-Assistance-Program/find-your-local-low-income-home-energy-assistance-program-provider-for-help|2026-09-04
