# Harris County Tier 2 leads — organizations beyond the TDHCA subrecipient list
# retrieved: 2026-09-02   extraction: language model reading published web pages
# DRAFT. Every row is a LEAD TO CALL, not a listing. See data/CONTRACT.md.
#
# SOURCE KEYS
#   NHPB  https://www.needhelppayingbills.com/html/harris_county_assistance_progr.html
#         AGGREGATOR, not primary. Lowest confidence — exactly the kind of stale
#         third-party list this product exists to replace. Verify everything.
#   HCPL  https://hcpl.net/news/food-banks-and-food-assistance/   (Harris County Public Library)
#   SALV  https://salvationarmyhouston.org/houston/ccc/            (organisation's own site)
#   CCGH  https://catholiccharities.org/about-us/locations/        (organisation's own site)
#
# columns: SOURCE|NAME|ADDRESS|CITY|ZIP|COUNTY|PHONE|SERVICES
SALV|The Salvation Army — Conroe Community Center|304 Avenue E|Conroe|77301|Montgomery||community center
SALV|The Salvation Army — Northwest Community Center|12507 Windfern Rd|Houston|77064|Harris||community center
SALV|The Salvation Army — International Community Center|7920 Cook Rd|Houston|77072|Harris||community center
SALV|The Salvation Army — Aldine Westfield Community Center|2600 Aldine Westfield Rd|Houston|77093|Harris||community center
SALV|The Salvation Army — Temple Community Center|4516 Irvington Blvd|Houston|77009|Harris||community center
SALV|The Salvation Army — East Harris County Community Center|2732 Cherry Brook Ln|Pasadena|77502|Harris||community center
CCGH|Catholic Charities — Main Office|2900 Louisiana Street|Houston|77006|Harris|713-526-4611|social services
CCGH|Catholic Charities — Guadalupe Basic Needs Center|326 South Jensen Drive|Houston|77003|Harris|713-526-4611|basic needs
CCGH|Catholic Charities — St. Frances Cabrini Center|5599 San Felipe Street, Suite 300|Houston|77056|Harris|713-595-4100|legal services
CCGH|Catholic Charities — San Jose Clinic|2615 Fannin St|Houston|77002|Harris|713-874-6590|free clinic
CCGH|Catholic Charities — Mamie George Community Center|1111 Collins Road|Richmond|77469|Fort Bend|281-202-6200|social services
CCGH|Catholic Charities — San Jose Clinic Rosenberg|1615 Avenue E|Rosenberg|77471|Fort Bend|713-874-6590|free clinic
CCGH|Catholic Charities — Beacon of Hope Center|4700 Broadway, Suite B-101|Galveston|77551|Galveston|409-762-2064|social services
HCPL|Clear Lake Food Pantry|15700 Space Center Blvd|Houston|77062|Harris||food pantry; Mondays and Thursdays 8-10am
HCPL|Klein United Methodist Church Food Pantry|5290 FM 2920|Spring|77388|Harris|713-859-3405|food pantry; call or email for pick up time
