CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
WEEK 1,1,BakerRipley,Houston,,+17136679400,"CEAP, CSBG","electric_bill, food_pantry, gas_bill, reconnect_fee, rent_assistance, transportation, utility_deposit",3,263,"5,745,696",Brazoria; Galveston; Harris,77001 77002 77003 77004 77005 77006 77007 77008 77009 77010 77011 77012 77013 77014 77015 77016 77017 77018 77019 77020 77021 77022 77023 77024 77025 77026 77027 77028 77029 77030 77031 77032 77033 77034 77035 77036 77037 77038 77039 77040 77041 77042 77043 77044 77045 77046 77047 77048 77049 77050 77051 77052 77053 77054 77055 77056 77057 77058 77059 77060 77061 77062 77063 77064 77065 77066 77067 77068 77069 77070 77071 77072 77073 77074 77075 77076 77077 77078 77079 77080 77081 77082 77083 77084 77085 77086 77087 77088 77089 77090 77091 77092 77093 77094 77095 77096 77098 77099 77205 77206 77207 77208 77210 77215 77217 77218 77219 77220 77221 77222 77223 77224 77225 77226 77227 77228 77230 77231 77233 77234 77235 77236 77237 77238 77240 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77258 77259 77261 77262 77263 77265 77266 77267 77268 77269 77270 77271 77272 77273 77274 77275 77277 77279 77280 77282 77284 77287 77288 77289 77290 77291 77292 77293 77325 77336 77338 77339 77345 77346 77347 77373 77375 77377 77379 77383 77388 77389 77391 77396 77401 77402 77410 77411 77413 77422 77429 77430 77433 77444 77447 77449 77450 77477 77480 77484 77486 77491 77492 77493 77494 77501 77502 77503 77504 77505 77506 77507 77508 77510 77511 77512 77515 77516 77517 77518 77520 77521 77522 77523 77530 77531 77532 77534 77536 77539 77541 77542 77546 77547 77549 77550 77551 77552 77553 77554 77562 77563 77565 77566 77568 77571 77572 77573 77574 77577 77578 77581 77583 77584 77586 77587 77588 77590 77591 77592 77598 77617 77623 77650,TDHCA Master List of Community Affairs Subrecipients,bakerripley-ceap,,unknown,,,,2026-09-14,,,,,,,,voicemail,"Hotline is closed for lunch - Try to contact after 1PM. The website currently states that the online application capacity has been reached and that the portal is expected to reopen September 14, 2026.",2026-09-02,Deej,,,
WEEK 1,2,Gulf Coast Community Services Association,Houston,,+17133934700,"CEAP, CSBG","electric_bill, food_pantry, gas_bill, reconnect_fee, rent_assistance, transportation, utility_deposit",3,263,"5,745,696",Brazoria; Galveston; Harris,77001 77002 77003 77004 77005 77006 77007 77008 77009 77010 77011 77012 77013 77014 77015 77016 77017 77018 77019 77020 77021 77022 77023 77024 77025 77026 77027 77028 77029 77030 77031 77032 77033 77034 77035 77036 77037 77038 77039 77040 77041 77042 77043 77044 77045 77046 77047 77048 77049 77050 77051 77052 77053 77054 77055 77056 77057 77058 77059 77060 77061 77062 77063 77064 77065 77066 77067 77068 77069 77070 77071 77072 77073 77074 77075 77076 77077 77078 77079 77080 77081 77082 77083 77084 77085 77086 77087 77088 77089 77090 77091 77092 77093 77094 77095 77096 77098 77099 77205 77206 77207 77208 77210 77215 77217 77218 77219 77220 77221 77222 77223 77224 77225 77226 77227 77228 77230 77231 77233 77234 77235 77236 77237 77238 77240 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77258 77259 77261 77262 77263 77265 77266 77267 77268 77269 77270 77271 77272 77273 77274 77275 77277 77279 77280 77282 77284 77287 77288 77289 77290 77291 77292 77293 77325 77336 77338 77339 77345 77346 77347 77373 77375 77377 77379 77383 77388 77389 77391 77396 77401 77402 77410 77411 77413 77422 77429 77430 77433 77444 77447 77449 77450 77477 77480 77484 77486 77491 77492 77493 77494 77501 77502 77503 77504 77505 77506 77507 77508 77510 77511 77512 77515 77516 77517 77518 77520 77521 77522 77523 77530 77531 77532 77534 77536 77539 77541 77542 77546 77547 77549 77550 77551 77552 77553 77554 77562 77563 77565 77566 77568 77571 77572 77573 77574 77577 77578 77581 77583 77584 77586 77587 77588 77590 77591 77592 77598 77617 77623 77650,TDHCA Master List of Community Affairs Subrecipients,gulf-coast-community-services-association-ceap,,waitlist,,,,2026-09-08,online,,,"identity documentation for all household members, citizenship/legal-residency documentation, income documentation and complete application. One application per household per calendar year.",,,,reached,should submit online application and applicant will be assigned of a specialist.  Applocants can start calling back on September 8 to confirm waitlist,2026-09-02,DeeJ,,,
,3,The Salvation Army — Northwest Community Center,Houston,12507 Windfern Rd,,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,The Salvation Army Houston Area Command — Community Centers,the-salvation-army-northwest-community-center,,,,,,,,,,,,,,,,,,,,
,4,The Salvation Army — International Community Center,Houston,7920 Cook Rd,,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,The Salvation Army Houston Area Command — Community Centers,the-salvation-army-international-community-center,,,,,,,,,,,,,,,,,,,,
,5,The Salvation Army — Aldine Westfield Community Center,Houston,2600 Aldine Westfield Rd,,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,The Salvation Army Houston Area Command — Community Centers,the-salvation-army-aldine-westfield-community-center,,,,,,,,,,,,,,,,,,,,
,6,The Salvation Army — Temple Community Center,Houston,4516 Irvington Blvd,,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,The Salvation Army Houston Area Command — Community Centers,the-salvation-army-temple-community-center,,,,,,,,,,,,,,,,,,,,
,7,The Salvation Army — East Harris County Community Center,Pasadena,2732 Cherry Brook Ln,,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,The Salvation Army Houston Area Command — Community Centers,the-salvation-army-east-harris-county-community-center,,,,,,,,,,,,,,,,,,,,
,8,Catholic Charities — Main Office,Houston,2900 Louisiana Street,+17135264611,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-main-office,,unknown,,,,,,,,,,,,voicemail,Inbox is full,2026-09-02,DeeJ,,,
,9,Catholic Charities — Guadalupe Basic Needs Center,Houston,326 South Jensen Drive,+17135264611,Assistance services,rent_assistance,1,0,"5,009,302",Harris,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-guadalupe-basic-needs-center,,,,,,,,,,,,,,,,,,,,
,10,Catholic Charities — St. Frances Cabrini Center,Houston,"5599 San Felipe Street, Suite 300",+17135954100,Assistance services,legal_aid,1,0,"5,009,302",Harris,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-st-frances-cabrini-center,,unknown,,,,,,,,,,,,voicemail,Asked to leave a message,2026-09-02,DeeJ,,,
,11,Catholic Charities — San Jose Clinic,Houston,2615 Fannin St,+17138746590,Assistance services,"free_clinic, prescriptions",1,0,"5,009,302",Harris,,Catholic Charities Archdiocese of Galveston-Houston — Locations,catholic-charities-san-jose-clinic,,seasonal_closed,,,,2026-09-04,online,,,,,,,reached,Accepting applicants every 4th of the month,2026-09-02,DeeJ,,,
,12,Clear Lake Food Pantry,Houston,15700 Space Center Blvd,,Assistance services,food_pantry,1,0,"5,009,302",Harris,,Harris County Public Library — Food Banks and Food Assistance,clear-lake-food-pantry,,,,,,,,,,,,,,,,,,,,
,13,Klein United Methodist Church Food Pantry,Spring,5290 FM 2920,+17138593405,Assistance services,food_pantry,1,0,"5,009,302",Harris,,Harris County Public Library — Food Banks and Food Assistance,klein-united-methodist-church-food-pantry,,,,,,,,,,,,,,,,,,,,
,14,Trinity Klein Food Pantry,Spring,5201 Spring Cypress Rd,+12812904925,Assistance services,food_pantry,1,0,"5,009,302",Harris,,Harris County Public Library — Food Banks and Food Assistance,trinity-klein-food-pantry,,,,,,,,,,,,,,,,,,,,
,15,Target Hunger,,,,Assistance services,food_pantry,1,0,"5,009,302",Harris,,Harris County Public Library — Food Banks and Food Assistance,target-hunger,,,,,,,,,,,,,,,,,,,,
,16,YMCA of Greater Houston,,,,Assistance services,food_pantry,1,0,"5,009,302",Harris,,Harris County Public Library — Food Banks and Food Assistance,ymca-of-greater-houston,,,,,,,,,,,,,,,,,,,,
,17,Society of St. Vincent de Paul of Harris County,,,+17137418234,Assistance services,"electric_bill, food_pantry, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),society-of-st-vincent-de-paul-of-harris-county,,,,,,,,,,,,,,,,,,,,
,18,Southeast Area Ministries,South Houston,2102 Houston Blvd,+17139440093,Assistance services,"deposit_assistance, electric_bill, gas_vouchers, holiday_assistance, prescriptions, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),southeast-area-ministries,,,,,,,,,,,,,,,,,,,,
,19,Wheeler Avenue Baptist Church Social Service Center,Houston,3826 Wheeler Ave,+17137485240,Assistance services,"electric_bill, food_pantry, mortgage_assistance, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),wheeler-avenue-baptist-church-social-service-center,,,,,,,,,,,,,,,,,,,,
,20,St. Joseph Social Ministry,Houston,4040 W Fuqua St,+17132228903,Assistance services,"electric_bill, food_pantry",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),st-joseph-social-ministry,,,,,,,,,,,,,,,,,,,,
,21,St. Mary Magdalene Social Services,Humble,,+12815401907,Assistance services,"electric_bill, food_pantry",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),st-mary-magdalene-social-services,,,,,,,,,,,,,,,,,,,,
,22,St. Justin Martyr Social Ministry,,,+12815565116,Assistance services,"electric_bill, gas_bill, rent_assistance, water_bill",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),st-justin-martyr-social-ministry,,,,,,,,,,,,,,,,,,,,
,23,"Christian Community Service Center, Inc.",Houston,3434 Branard St,+17138719741,Assistance services,"dental, electric_bill, food_pantry, holiday_assistance, prescriptions, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),christian-community-service-center-inc,,unknown,,,,,,,,,,,,,This phone number is on the federal dnc list.,2026-09-02,Deej,,,
,24,Cypress Assistance Ministries,Cypress,12930 Cypress North Houston Rd,+12819557684,Assistance services,holiday_assistance,1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),cypress-assistance-ministries,,,,,,,,,,,,,,,,,,,,
,25,Covenant House Texas,Houston,1111 Lovett Blvd.,+17135232231,Assistance services,"free_clinic, holiday_assistance, prescriptions, rent_assistance",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),covenant-house-texas,,,,,,,,,,,,,,,,,,,,
,26,Windsor Village United Methodist Church,Houston,6011 W Orem Dr,+17137238187,Assistance services,"electric_bill, food_pantry, mortgage_assistance, rent_assistance, transportation",1,0,"5,009,302",Harris,,needhelppayingbills.com — Harris County assistance programs (AGGREGATOR),windsor-village-united-methodist-church,,,,,,,,,,,,,,,,,,,,
