state|county|org_name|address|phone|url|source|source_url|retrieved
NC|Alamance|Alamance County Department of Social Services|319 N. Graham-Hopedale Road, Suite C, Burlington, NC 27217|+13365706532|/divisions/social-services/alamance-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Alexander|Alexander County Department of Social Services|604 Seventh St. SW, Taylorsville, NC 28681|+18286321080|/divisions/social-services/alexander-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Alleghany|Alleghany County Department of Social Services|182 Doctors St., Sparta, NC 28675|+13363722411|/divisions/social-services/alleghany-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Anson|Anson County Department of Social Services|118 N. Washington St., Wadesboro, NC 28170|+17046949351|/divisions/social-services/anson-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Ashe|Ashe County Department of Social Services|150 Government Circle, Suite 1400, Jefferson, NC 28640|+13368465719|/divisions/social-services/ashe-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Avery|Avery County Department of Social Services|358 Beech St., Newland, NC 28657|+18287338230|/divisions/social-services/avery-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Beaufort|Beaufort County Department of Social Services|632 W. Fifth St., Washington, NC 27889|+12529755500|/divisions/social-services/beaufort-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Bertie|Bertie County Department of Social Services|110 Jasper Bazemore Ave. Windsor, NC 27983|+12527945320|/divisions/social-services/bertie-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Bladen|Bladen County Department of Social Services|208 McKay St., Elizabethtown, NC 28337|+19108626800|/divisions/social-services/bladen-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Brunswick|Brunswick County Department of Social Services|60 Government Drive, NE, Bolivia, NC 28422|+19102532077|/divisions/social-services/brunswick-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Buncombe|Buncombe County Department of Social Services|40 Coxe Ave. Asheville, NC 28802|+18282505500|/divisions/social-services/buncombe-county-health-human-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
NC|Burke|Burke County Department of Social Services|700 East Parker Road, Morganton, NC 28680|+18287649600|/divisions/social-services/burke-county-department-social-services|NCDHHS Local DSS Directory|https://www.ncdhhs.gov/divisions/social-services/local-dss-directory|2026-09-04
