0,county,title,url,fill_color
1,Alamance,"<p><em><strong><em><em>County&nbsp;</em>01</em></strong></em><br />	<br />	Director: Candice Gobble<br />	319 N. Graham-Hopedale Road, Suite C, Burlington, NC 27217<br />	Phone: 336-570-6532 &nbsp;<br />	Fax: 336-570-6497<br />	<br />	Emergency Phone: 336-229-2912<br />	CPS/APS: 336-229-2908, 336-229-2909<br />	All other Child Welfare Requests/Inquiries Fax: 336-570-6771&nbsp;</p>",/divisions/social-services/alamance-county-department-social-services,Blue
2,Alexander,"<p><em><strong>County 02</strong></em><br />	<br />	County Director:&nbsp; Keri Jerrell<br />	604 Seventh St.&nbsp;SW, Taylorsville, NC 28681<br />	Phone: 828-632-1080<br />	Fax Number: 828-632-1092<br />	<br />	Emergency (Sheriff&#39;s Dept.): 828-632-4658<br />	APS: 828-352-7670<br />	Medicaid Transportation: 828-465-7641</p>",/divisions/social-services/alexander-county-department-social-services,Blue
3,Alleghany,"<p><em><strong>County 03</strong></em><br />	<br />	Director:&nbsp; Stacey Presnell<br />	Doctor St., Sparta, NC 28675<br />	P.O. Box 247<br />	Phone: 336-372-2411<br />	Fax Number: 336-372-2635<br />	<br />	CPS/APS: 336-372-1445</p>",/divisions/social-services/alleghany-county-department-social-services,Blue
4,Anson,"<p><em><strong>County 04</strong></em><br />	<br />	Director:&nbsp; Lula Jackson<br />	118 N. Washington St.,&nbsp;Wadesboro, NC 28170<br />	Phone: 704-694-9351<br />	Fax Number: 704-695-1608</p>",/divisions/social-services/anson-county-department-social-services,Blue
5,Ashe,"<p><em><strong>County 05</strong></em><br />	<br />	Tracie McMillan<br />	150 Government Circle, Suite 1400, Jefferson, NC 28640<br />	Phone: 336-846-5719<br />	Fax Number: 336-846-5779, 336-846-5764 and 336-846-5895<br />	<br />	Emergency Phone: 336-846-5600<br />	CPS: 336-846-5719<br />	APS: 336-846-5719</p>",/divisions/social-services/ashe-county-department-social-services,Blue
6,Avery,"<p><em><strong>County 06</strong></em><br />	<br />	Raquel Jennings<br />	358 Beech St., Newland, NC 28657<br />	Phone: 828-733-8230<br />	Fax: 828-733-8245<br />	<br />	Emergency Phone: 828-733-8230</p>",/divisions/social-services/avery-county-department-social-services,Blue
7,Beaufort,"<p><em><strong>County 07</strong></em></p><p>Director:&nbsp;&nbsp;Lori Leggett<br />	632 W. Fifth St., Washington, NC 27889<br />	P.O.&nbsp;Box 1358&nbsp;<br />	Phone: 252-975-5500<br />	Fax Number: 252-975-5555</p><p>CPS: 252-940-6100, 252-940-6030, 252-940-6089<br />	APS: 252-940-6042</p>",/divisions/social-services/beaufort-county-department-social-services,Blue
8,Bertie,"<p><em><strong>County 08</strong></em><br />Interim Director:&nbsp; Yolanda White<br />	110 Jasper Bazemore Ave. Windsor, NC 27983<br />	P.O. Box 627<br />	Phone: 252-794-5320<br />	Fax Number: 252-794-5344<br />	<br />	Emergency Phone: 252-794-5300<br />	CPS/APS: 252-794-5330</p>",/divisions/social-services/bertie-county-department-social-services,Blue
9,Bladen,"<p><em><strong>County 09</strong></em></p><p><em><strong></strong></em>Director:&nbsp;&nbsp;Jill Sampson<br />	208 McKay St., Elizabethtown, NC 28337<br />	P.O. Box 369<br />	Phone: 910-862-6800<br />	Fax Number: 910-862-6801</p><p>CPS: 910-862-6876<br />	APS: 910-862-6893<em><strong></strong></em></p>",/divisions/social-services/bladen-county-department-social-services,Blue
10,Brunswick,"<p><em><strong>County 10</strong></em></p><p>Director: Cathy Lytch<br />	60 Government Drive, NE,&nbsp;Bolivia, NC 28422<br />	Phone: 910-253-2077<br />	Fax Number: 910-253-2071</p><p>CPS/APS: 910-253-2415<br />	Medicaid Transportation:&nbsp;910-253-2247&nbsp;</p>",/divisions/social-services/brunswick-county-department-social-services,Blue
11,Buncombe,"<p><em><strong>County 11</strong></em><br />	<br />	Interim Director:&nbsp; Colleen Bridger<br />	40 Coxe Ave.&nbsp;Asheville, NC 28802<br />	P.O. Box 7408<br />	Phone: 828-250-5500<br />	Fax Number: 828-250-6235<br />	<br />	CPS:&nbsp;828-250-5900<br />	APS:&nbsp;828-250-5800<br />	Medicaid Transportation:&nbsp;828-552-5486</p>",/divisions/social-services/buncombe-county-health-human-services,Blue
12,Burke,"<p><em><strong>County 12</strong></em><br />	<br />	Director:&nbsp; Korey Fisher-Wellman<br />	700 East Parker Road,&nbsp;Morganton, NC 28680<br />	P.O. Box 549&nbsp;<br />	Phone: 828-764-9600<br />	Fax Number: &nbsp;828-608-8260</p>",/divisions/social-services/burke-county-department-social-services,Blue
13,Cabarrus,"<p><em><strong>County 13</strong></em><br />	<br />	Director:&nbsp; Aalece Pugh-Lilly<br />	1303 S. Cannon Blvd., Kannapolis, NC 28083<br />	Phone: 704-920-1400<br />	Fax Number: 704-920-1401<br />	<br />	Medicaid Transportation: 704-920-2246</p>",/divisions/social-services/cabarrus-county-department-social-services,Blue
14,Caldwell,"<p><em><strong>County 14</strong></em></p><p>Director:&nbsp;&nbsp;Kimberly Arnett<br />	2345 Morganton Blvd., SW, Suite A<br />	Lenoir, NC 28645&nbsp;<br />	P.O. Box 200&nbsp;<br />	Main Number: 828-426-8200<br />	Fax Number: 828-426-8398</p><p>Child Welfare Services:  828-426-8257<br />	Adult Services: 828-426-8180<br />	Medicaid: 828-426-8269<br /> Food and Nutrition: 828-426-8296</p>",/divisions/social-services/caldwell-county-department-social-services,Blue
15,Camden,"<p><em><strong>County 15</strong></em><br />	<br />	Director:&nbsp; Nekia King<br />	117 NC HWY 343 N,&nbsp;Camden, NC 27921<br />	P.O. Box 70<br />	Phone: 252-331-4787<br />	Fax Number: 252-335-1009<br />	<br />	Emergency Phone: 252-331-1500</p>",/divisions/social-services/camden-county-department-social-services,Blue
