# TDHCA Master List of Community Affairs Subrecipients
# source: https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf
# retrieved: 2026-09-02   document dated: February 2026
# extraction: language model, from PDF. DRAFT — see data/CONTRACT.md rule 6.
# known extraction defects, corrected in ingest_tdhca.py (not edited here, so this
# file stays a faithful record of what the extractor produced):
#   - extractor reported "47 of 47 organizations" but emitted 44
#   - 'Davis' appears alongside 'Jeff Davis'; there is no Davis County in Texas
#   - 'LaSalle' appears alongside 'La Salle'
#   - three rows repeat a county within the row
# columns: ORG_NAME|CITY|PHONE|PROGRAMS|COUNTIES_SERVED
Alamo Area Council of Governments|San Antonio|(210) 362-5200|WAP, CEAP, CSBG|Atascosa, Bandera, Bexar, Comal, Frio, Gillespie, Guadalupe, Karnes, Kendall, Kerr, Medina, Wilson
Aspermont Small Business Development Center, Inc.|Aspermont|(940) 989-3538|WAP, CEAP, CSBG|Haskell, Jones, Kent, Knox, Stonewall, Throckmorton
City of Austin Health and Human Services Department|Austin|(512) 972-5000|WAP, CEAP, CSBG|Travis
BakerRipley|Houston|(713) 667-9400|CEAP, CSBG|Harris, Brazoria, Galveston
Bexar County Department of Community Resources|San Antonio|(210) 335-3666|WAP, CEAP, CSBG|Bexar
Brazos Valley Community Action Programs|Bryan|(979) 595-2800|WAP, CEAP, CSBG|Brazos, Burleson, Grimes, Leon, Madison, Montgomery, Robertson, Walker, Waller, Washington, Chambers, Liberty
Cornerstone Community Action Agency|Coleman|(325) 625-4167|WAP, CEAP, CSBG|Brown, Callahan, Coleman, Comanche, Eastland, McCulloch, Runnels
Combined Community Action, Inc.|Giddings|(979) 540-2980|WAP, CEAP, CSBG|Austin, Bastrop, Blanco, Caldwell, Colorado, Fayette, Fort Bend, Hays, Lee, Wharton
Crossroads Community Action|Victoria|(800) 695-0314|WAP, CEAP, CSBG|Aransas, Bee, Brazoria, Calhoun, DeWitt, Goliad, Gonzales, Jackson, Lavaca, Live Oak, Matagorda, McMullen, Refugio, Victoria, Wharton
Community Action Corporation of South Texas|Alice|(361) 664-0145|WAP, CEAP, CSBG|Brooks, Cameron, Duval, Hidalgo, Jim Hogg, Jim Wells, Kenedy, Kleberg, San Patricio, Starr, Webb, Willacy, Zapata, Bee
Community Action Inc. of Central Texas|San Marcos|(512) 392-1161|WAP, CEAP, CSBG|Blanco, Caldwell, Hays
Community Action Social Services & Education|Eagle Pass|(830) 773-7274|WAP, CEAP|Maverick
Community Council of South Central Texas, Inc.|Seguin|(830) 303-4376|WAP, CEAP, CSBG|Brewster, Crane, Culberson, Davis, Dimmit, Edwards, Hudspeth, Jeff Davis, Kinney, LaSalle, Maverick, Pecos, Presidio, Real, Terrell, Uvalde, Val Verde, Zavala, Atascosa, Bandera, Comal, Frio, Gillespie, Guadalupe, Karnes, Kendall, Kerr, La Salle, Live Oak, McMullen, Medina, Wilson
Community Council of Greater Dallas|Dallas|(214) 871-5065|WAP, CEAP, CSBG|Dallas
Community Services, Inc.|Corsicana|(903) 872-2401|WAP, CEAP|Anderson, Collin, Denton, Ellis, Henderson, Hunt, Kaufman, Navarro, Rockwall, Van Zandt
Community Services of Northeast Texas, Inc.|Linden|(903) 756-5596|WAP, CEAP, CSBG|Bowie, Camp, Cass, Delta, Franklin, Hopkins, Lamar, Marion, Morris, Rains, Red River, Titus
Concho Valley Community Action Agency|San Angelo|(325) 653-2411|WAP, CEAP, CSBG|Coke, Coleman, Concho, Crockett, Irion, Kimble, McCulloch, Menard, Reagan, Runnels, Schleicher, Sterling, Sutton, Tom Green
Dallas County Department of Health and Human Services|Dallas|(214) 819-1848|WAP, CEAP, CSBG|Dallas
Economic Action Committee of the Gulf Coast|Bay City|(979) 245-6901|WAP, CEAP|Matagorda, Wharton, Matagorda
Economic Opportunities Advancement Corporation|Waco|(254) 753-0331|WAP, CEAP, CSBG|Bosque, Ellis, Falls, Freestone, Hill, Johnson, Limestone, McLennan, Navarro, Johnson
El Paso Community Action, Project BRAVO|El Paso|(915) 562-4100|WAP, CEAP, CSBG|El Paso
Fort Worth, City of, Neighborhood Services Department|Fort Worth|(817) 392-5790|WAP, CEAP, CSBG|Tarrant
